m'ahohoahoa;my pleasure
mexicofo spania kasa;Mexican Spanish
mexicofo ɔkraman;Mexican wolf
mexicofosom;Mexicanism
meyare;I'm sick
meyɛ;Ido
meyɛ ... afe (afe).;I'm ... year(s) old
meyɛ asotifo;I'm deaf
meyɛ buddhafo;I'm a Buddhist
meyɛ engiresini;I am English
meyɛ gay;I'm gay
meyɛ katolekni;I'm a Catholic
meyɛ kristoni;I'm a Christian
meyɛ mum;I'm mute
meyɛ nkramofo;I'm a Muslim
meyɛ obi a meyɛ agnostic;I'm agnostic
meyɛ obi a onni afifide;I'm a vegetarian
meyɛ obi a onnye nni sɛ onyankopɔn wɔ hɔ;I'm an atheist
meyɛ obi a ɔpɛ ɔbarima ne ɔbea nna;I'm bisexual
meyɛ oduruyɛfo;I am a doctor
meyɛ protestantni;I'm a Protestant
meyɛ sigyani;I'm single
meyɛ tẽẽ;I'm straight
meyɛ yudani;I'm Jewish
meyɛ ɔwarefo;I'm married
mezuzah na ɛwɔ hɔ;mezuzah
mezzaluna a ɛyɛ mezzaluna;mezzaluna
mfa ho;careless
mfamyɛ;patch
mfaso a wonya fi mu;profit margin
mfaso a wonyae wɔ ɔkwan a ɛnteɛ so;ill-gotten gains
mfaso a wɔkyɛ;profit sharing
mfaso a ɛwɔ adwenem naayɛ no so;benefit of the doubt
mfaso a ɛwɔ so;practicality
mfaso a ɛwɔ so;profitable
mfaso a ɛwɔ so;usefulness
mfaso biara nni so;pointlessly
mfaso biara nni so;unprofitably
mfaso ho adwene;utilitarianism
mfaso ho nhwɛso;utility model
mfaso ne ɔhaw ahorow a ɛwom;pros and cons
mfaso nni so;futile
mfaso nni so;futility
mfaso nni so;pointless
mfaso nni so;unprofitable
mfaso nni so;unuseful
mfaso nni so;valueless
mfaso nni so;worthless
mfaso wɔ so;advantageous
mfaso wɔ so;advantageously
mfaso wɔ so;beneficial
mfaso wɔ so;expedient
mfaso wɔ so;rewarding
mfaso wɔ so;usefully
mfaso wɔ so;worthwhile
mfasoɔ;benefit
mfasoɔ;credit
mfasoɔ;interest
mfasoɔ;profit
mfasoɔ nni so;useless
mfatoho;allegory
mfatoho;illustration
mfatoho;simile
mfatoho a wɔde di dwuma;allegorical
mfe a obi adi;age of majority
mfe a wɔadi;of age
mfe aduɔwɔtwe;octogenarian
mfe anum a wɔde di dwuma;quinquagenarian
mfe anum a wɔde yɛ adwuma;quinquennial
mfe ɔha a wɔadi;centenarian
mfe ɔha a wɔadi;centenary
mfe ɔha a wɔde di dwuma;centennial
mfe ɔha aduasa;tercentenary
mfe ɔha aduasa;tricentennial
mfedu;decade
mfeefeemu;curiosity
mfeha;century
mfepadeɛ;rib
mfeɛ;age
mfiase;commencement
mfiase;inception
mfiase;onset
mfiase;outset
mfiase no;at first
mfiase no;initially
mfiase no;originally
mfiasesɛm;basic
mfiaseɛ;default
mfiaseɛ;primary
mfididwuma;factory
mfididwuma;industry
mfifire;sweat
mfikyifuo;garden
mfimfini;center
mfimfini;middle
mfinimfini;amidst
mfinimfini;central
mfinimfini;midden
mfinimfini;midst
mfinimfini a ɛwɔ baabiara;middle of nowhere
mfinimfini ade;centrepiece
mfinimfini ahenni;Middle Kingdom
mfinimfini akyi berɛmo;medial rectus
mfinimfini apuei;Middle East
mfinimfini apuei kɛse;Greater Middle East
mfinimfini asetra mu ahokyere;mid-life crisis
mfinimfini asɛm;midpoint
mfinimfini bɔɔlbɔfo;midfielder
mfinimfini bɔɔlbɔfo a ɔtow hyɛ wɔn so;attacking midfielder
mfinimfini cornish kasa;Middle Cornish
mfinimfini din;middle name
mfinimfini engiresi kasa;Middle English
mfinimfini fã;centre half
mfinimfini gyinabea;centering
mfinimfini gyinabea;centralism
mfinimfini gyinabea;centrism
mfinimfini high german kasa;Middle High German
mfinimfini ireland kasa;Middle Irish
mfinimfini kwan so;medial
mfinimfini kwan so;median
mfinimfini mfe a obi adi;middle age
mfinimfini mfe mu;middle-aged
mfinimfini mmere mu;medieval
mfinimfini mmere mu adesua ahorow;medieval studies
mfinimfini mmere no;Middle Ages
mfinimfini mpanyimfo kuw;middle class
mfinimfini nsateaa;middle finger
mfinimfini persia kasa;Middle Persian
mfinimfini sukuu;middle school
mfinimfini ɔbea;middlewoman
mfiri a wɔde hohoro nneɛma;machine wash
mfiri a wɔde sua ade;machine learning
mfiri a wɔde yɛ adwuma;apparatus
mfiri a wɔde yɛ adwuma;machination
mfiri a wɔde yɛ adwuma;machinery
mfiri a wɔde yɛ adwuma;mechanical
mfiri a wɔde yɛ adwuma;mechanization
mfiri a wɔde yɛ adwuma;mechanize
mfiri a wɔde yɛ pɛnsere;mechanical pencil
mfiri adwinnade;machine tool
mfiri draiver no;device driver
mfiri kasa;machine language
mfiri nkyerɛase;machine translation
mfiri pii a wɔde di dwuma;multidevice
mfiridwuma a wɔde dannan nneɛma;reverse engineering
mfiridwuma a wɔde di dwuma;control engineering
mfiridwuma a wɔde di dwuma wɔ tete mmere mu;classical mechanics
mfiridwuma beae;industrial park
mfiridwuma ho asɛmfua;technical term
mfiridwuma ho mmoa;technical support
mfiridwuma ho nimdefo;industrialist
mfiridwuma ho nimdefo;machinist
mfiridwuma ho nimdefo;technician
mfiridwuma ho nimdefo;technologist
mfiridwuma ho nimdeɛ;engineering
mfiridwuma ho nimdeɛ;mechanics
mfiridwuma ho nimdeɛ;mechatronics
mfiridwuma ho nimdeɛ;technetium
mfiridwuma ho nimdeɛ;technical
mfiridwuma ho nimdeɛ;technocracy
mfiridwuma ho nimdeɛ;technological
mfiridwuma ho nimdeɛ a wɔde ma afoforo;technology transfer
mfiridwuma ho sukuu;technical school
mfiridwuma mu;industrial
mfiridwuma mu akwansrafo;industrial espionage
mfiridwuma mu asomdwoe;industrial peace
mfiridwuma mu mfomso;technical foul
mfiridwuma mu mfoniniyɛ;technical drawing
mfiridwuma mu nhyehyɛe;industrial design
mfiridwuma mu nkɔso;industrialism
mfiridwuma mu nkɔso;industrialization
mfiridwuma mu nneɛma;industrialize
mfiridwumayɛfo;mechanic
mfirihyia apem;millennium
mfirihyia apem mu;millennial
mfitiase bɔne;original sin
mfitiase de;primeval
mfitiase de;primordial
mfitiase dwumadi;elementary function
mfitiase po;primordial sea
mfitiase soup a wɔde yɛ aduan;primordial soup
mfitiase sukuu;elementary
mfitiase sukuu;primary school
mfitiasesɛm;rudimentary
mfitiasesɛm a wɔde yɛ adwuma;originality
mfitiaseɛ;baseline
mfitiaseɛ abɔdeɛ nketenkete;elementary particle
mfomso;err
mfomso;erroneous
mfomso a enni hɔ;infallibility
mfomso a wodi;fallibility
mfomso a wodi;fallible
mfomso a wonni;faultlessness
mfomso a wɔde di dwuma;fallibilism
mfomso a wɔde kyerɛw;typo
mfomso a wɔka;fallacy
mfomso a wɔyɛ;blunder
mfomso a ɛtaa ba;error-prone
mfomso a ɛwɔ akyirikyiri;margin of error
mfomso biara nni ho;faultless
mfomso biara nni ho;no offense
mfomso hwehwɛfo;faultfinder
mfomso wɔ ho;faulty
mfomsoɔ;error
mfomsoɔ;fault
mfomsoɔ;mistake
mfoni;image
mfoni;photo
mfoni;picture
mfonini a wɔayɛ;depiction
mfonini a wɔayɛ;diagram
mfonini a wɔayɛ;portrait
mfonini a wɔayɛ no ntɛm;snapshot
mfonini a wɔde akontaahyɛde yɛ;painting by numbers
mfonini a wɔde ayɛ mfonini;graphic
mfonini a wɔde di dwuma;image processing
mfonini a wɔde fluorografi yɛ;photofluorography
mfonini a wɔde kyerɛw nsɛm;grapholect
mfonini a wɔde yɛ asase mfonini;cartographic
mfonini a wɔde yɛ mfonini;photocopy
mfonini a wɔde yɛ mfonini;photogenic
mfonini a wɔde yɛ mfonini;pictogram
mfonini a wɔde yɛ mfonini;visualization
mfonini a wɔteɛteɛm;spitting image
mfonini a ɛdɔɔso;photomultiplier
mfonini a ɛpaapae;photodisintegration
mfonini a ɛyɛ fɛ;picturesque
mfonini ahorow;footage
mfonini akataso;photomask
mfonini ho nsɛm ho amanneɛbɔfo;photojournalist
mfonini ho suro;photophobia
mfonini ketewaa bi;miniature
mfonini ketewaa bi;thumbnail
mfonini kɛse;big picture
mfonini macro;image macro
mfonini nhoma;picture book
mfonini no;photograph
mfoninitwa;photo shoot
mfoninitwa;photographic
mfoninitwa;photography
mfoninitwa afiri;camera
mfoninitwa afiri;photocopier
mfoninitwa afiri;photometer
mfoninitwa afiri;photoshop
mfoninitwa afiri;photosphere
mfoninitwa afiri;phototube
mfoninitwa afiri a wɔde gye mfonini;photoreceptor
mfoninitwa afiri a ɛma hann;photoemitter
mfoninitwa afiri a ɛyɛ obscura;camera obscura
mfoninitwa ho nsɛm ho amanneɛbɔfo;photojournalism
mfoninitwa kwan so;photographically
mfoninitwafo;cameraman
mfoninitwafo;cartographer
mfoninitwafo;cartoonist
mfoninitwafo;photographer
mfoniniyɛ ho ayɛsɛm;graphic novel
mfoniniyɛ ho mfonini;iconography
mfoniniyɛfo;illustrator
mfoniniyɛfo;painter
mfoniniyɛfo;paintress
mfoniniyɛfo;Pictor
mfoniniyɛfo a ɔkyere nnwom gu kasɛt so;recording artist
mfoniniyɛfo a ɔyɛ mfonini;graphic designer
mfoniniyɛfo teyp;painter's tape
mfonoe;boredom
mframa;air
mframa a ntumi nkɔ mu;airtight
mframa a wɔahyɛ no den;compressed air
mframa a wɔde fa mframa mu;aerography
mframa a wɔde fa mu;air vent
mframa a wɔde fa mu;vent
mframa a wɔde fa mu;ventilation
mframa a wɔde hyɛ mu;aerate
mframa a wɔde hyɛ mu;air cushion
mframa a wɔde hyɛ mu;airscrew
mframa a wɔde hyɛ mu;airshaft
mframa a wɔde hyɛ nipadua mu;aeration
mframa a wɔde kyerɛ ade;aerometer
mframa a wɔde ma;ventilate
mframa a wɔde ma boro so;hyperventilate
mframa a wɔde ma boro so;hyperventilation
mframa a wɔde tew mframa ho;air freshener
mframa a wɔde tu mmirika;windsurf
mframa a wɔde tu mmirika;windsurfing
mframa a wɔde yɛ adwuma;air conditioner
mframa a wɔde yɛ adwuma;air conditioning
mframa a wɔde yɛ adwuma;pneumatic
mframa a wɔde yɛ adwuma;wind turbine
mframa a wɔde yɛ adwuma;windlass
mframa a wɔde yɛ adwuma;windmill
mframa a wɔfrɛ no windhoek;Windhoek
mframa a wɔsɛe no;air pollution
mframa a wɔtow gu;emission
mframa a ɛbɔ;breeze
mframa a ɛbɔ;breezy
mframa a ɛbɔ;winded
mframa a ɛbɔ;windfall
mframa a ɛbɔ;windpipe
mframa a ɛbɔ;windrow
mframa a ɛbɔ denneennen;windstorm
mframa a ɛbɔ ho;windward
mframa a ɛbɔ wɔ anim;headwind
mframa a ɛda hɔ;open air
mframa a ɛdɔɔso;airmass
mframa a ɛkɔ soro;wind up
mframa a ɛma ionizing;ionizing radiation
mframa a ɛma nusu;tear gas
mframa a ɛma wim yɛ hyew;greenhouse gas
mframa a ɛto so abien;second wind
mframa a ɛtumi yɛ adwuma;aerodynamism
mframa a ɛyɛ hyew;aerothermal
mframa a ɛyɛ hyew a wɔde bɔ balloon;hot-air balloon
mframa adwinnade;wind instrument
mframa ahoɔden;wind power
mframa ahwehwɛ;windshield
mframa ahwehwɛ a wɔde popa mframa;windshield wiper
mframa asorɔkye;airwaves
mframa bag;airbag
mframa bere;airtime
mframa gyampanturudu;hurricane
mframa ho nimdeɛ;aerology
mframa kotoku;air pocket
mframa kwan;airway
mframa mu;airborne
mframa mu abɔde a nkwa wom ho adesua;aerobiology
mframa mu ahoɔden;aerodynamic
mframa mu ahoɔden a wɔde yɛ adwuma;aerodynamical
mframa mu ahoɔden ho nimdeɛ;aerodynamics
mframa mu tuo a wɔde di dwuma;air rifle
mframa mu tuo a wɔde tuo;air pistol
mframa pa;fresh air
mframa pɔmpɛ;air pump
mframa pɔnkɔ;wind horse
mframa san kɔ akyi;wind back
mframa sɔree;wind rose
mframa tenten;long-winded
mframa tokuru;air hole
mframa-a-wɔn a wɔde yɛ adwuma;air-condition
mframabum;wind
mframamframa;windy
mfutuma;haze
mfutuma a wɔde fi hɔ;dust off
mfutuma a wɔde gu mu;dusting
mfutuma a wɔde yɛ mfutuma;dustpan
mfutuma a ɛyɛ fĩ;dusty
mfutuma a ɛyɛ hu;duststorm
mfutuma bunny;dust bunny
mfutuma jacket;dust jacket
mfutuma ɔbonsam;dust devil
mfuturo;dust
mfuw a wɔde yɛ adwuma;plantation
mfɛnsere a wɔde hyɛ mu;windowpane
mfɛnsere a wɔde tew nneɛma ho;window cleaner
mfɛnsere mu;windowsill
mfɛntom a wɔbɔ;interest rate
mfɛntom a wɔbɔ;usury
mfɛntom a wɔde di dwuma;usurious
mia;press
mia;squeeze
miami;Miami
miasma;miasma
mica a wɔfrɛ no mica;mica
micaceous a ɛyɛ micaceous;micaceous
micelle a wɔfrɛ no micelle;micelle
michael;Michael
michaela na ɔkyerɛwee;Michaela
michelangelo na ɔkyerɛwee;Michelangelo
michigan;Michigan
michigan ɔtare no;Lake Michigan
michoacán na ɔkyerɛwee;Michoacán
mickey mouse na ɔkyerɛwee;Mickey Mouse
micro- .;micro-
micro-region a ɛwɔ hɔ;micro-region
microaggression a ɛyɛ hu;microaggression
microarray a wɔde di dwuma;microarray
microbicide a wɔde kum mmoawa;microbicide
microbody;microbody
microbrewery a wɔyɛ no;microbrewery
microcephaly a ɛyɛ mmerɛw;microcephaly
microchip a wɔde yɛ nneɛma;microchip
microcosm a ɛwɔ hɔ;microcosm
microelectrode a wɔde yɛ nneɛma;microelectrode
microfilm a wɔde yɛ nneɛma;microfilm
microfossil a wɔde ayɛ nneɛma nketenkete;microfossil
microgram a wɔde yɛ adwuma;microgram
microgravity a ɛtwe ade ba fam;microgravity
micrometer a wɔde di dwuma;micrometer
micron;micron
micronesia na ɛwɔ hɔ;Micronesia
micronesiafo a wɔka no;Micronesian
micropaleontology ho adesua;micropaleontology
micropenis a ɛyɛ kɛse;micropenis
microprocessor a wɔde yɛ adwuma;microprocessor
microscopic a wɔde hwɛ nneɛma nketenkete;microscopic
microscopium a wɔde hwɛ nneɛma nketenkete;Microscopium
microsecond na ɛyɛ adwuma;microsecond
microseism a ɛyɛ hu;microseism
microskirt a wɔde hyɛ mu;microskirt
microsoft na ɛwɔ hɔ;Microsoft
microsome a ɛwɔ nipadua no mu;microsome
microstate a ɛwɔ hɔ;microstate
microtubule a ɛwɔ nipadua no mu;microtubule
microwave a wɔde hyɛ mu;microwave
microwave fononoo a wɔde yɛ fononoo;microwave oven
midas na ɔkyerɛwee;Midas
midget a ɛyɛ nwonwa;midget
midriff a ɛwɔ mfinimfini;midriff
mien;mien
mika;Micah
milan;Milan
milanfo kasa;Milanese
milf;MILF
milfoil a wɔde yɛ nneɛma;milfoil
milieu a ɛwɔ hɔ;milieu
miligram;milligram
mililita a ɛyɛ den;millilitre
milimetric a wɔde yɛ adwuma;millimetric
milimita;millimetre
milipede a wɔde di dwuma;millipede
milisekɔn;millisecond
militaresque a wɔde yɛ adwuma;militaresque
militarize;militarize
militia a wɔde di dwuma;militia
milky way no;Milky Way
mille-feuille na ɛyɛ adwuma;mille-feuille
miller na ɔkyerɛwee;Miller
millinery adwuma;millinery
milling cutter a wɔde twitwa nneɛma;milling cutter
milt;milt
miltiades a wɔde wɔn ho hyɛ mu;Miltiades
mimas na ɔkyerɛwee;Mimas
mimeograph a wɔde yɛ mfonini;mimeograph
mimesis a wɔde yɛ nneɛma;mimesis
mimosa;mimosa
mimsy;mimsy
min bei na ɔkyerɛwee;Min Bei
min nan;Min Nan
minaret;minaret
mince a wɔde ayɛ;mince
mince nsɛmfua;mince words
minder a ɔhwɛ nneɛma so;minder
mine a wɔabue mu;open-pit mine
minecart a wɔde fa nneɛma;minecart
mineral a ɛyɛ den;mineral
mineral nsuo;mineral water
mineralogical a wɔde yɛ nneɛma;mineralogical
mineralology ho adesua;mineralogy
mineshaft a wɔde atopae;mineshaft
ming ahemman no;Ming dynasty
minibar a ɛwɔ hɔ;minibar
minimalism a wɔde di dwuma;minimalism
mininium a ɛyɛ ketewaa bi;minium
minion;minion
miniskirt a ɛyɛ fɛ;miniskirt
minivan a wɔfrɛ no minivan;minivan
miniver a ɛyɛ adwuma;miniver
minivet a wɔde yɛ adwuma;minivet
mink;mink
minke whale a wɔfrɛ no whale;minke whale
minnesota;Minnesota
minni sika biara;I have no money
minnow;minnow
minorca na ɛwɔ hɔ;Minorca
minorcan, na ɔkyerɛwee;Minorcan
minotaur a wɔfrɛ no minotaur;minotaur
minsk;Minsk
minsusuw sɛ ɛte saa;I don't think so
mint a wɔde yɛ aduan;mint sauce
mint a wɔde yɛ adwuma;mint
mintumi nguare;I can't swim
minuend a ɛyɛ fɛ;minuend
minuet;minuet
minus;minus
minus sɛnkyerɛnne;minus sign
miocene a ɛwɔ hɔ;Miocene
miosis a ɛwɔ nipadua no mu;miosis
mira na ɔyɛ;Mira
miranda na ɔkyerɛwee;Miranda
mirandese kasa;Mirandese
mirandize a ɛyɛ nwonwa;Mirandize
mirepoix a ɛyɛ hu;mirepoix
miriam;Miriam
misandry na ɔkyerɛwee;misandry
misanthrope a ɔyɛ ɔkwasea;misanthrope
misanthropy a wɔde di dwuma ɔkwammɔne so;misanthropy
miscegenation a wɔde di dwuma;miscegenation
mise en scène a ɛwɔ hɔ;mise en scène
misfire a wɔde tow tuo;misfire
misfit;misfit
mishegoss a ɔyɛ ɔbarima;mishegoss
mishmash a wɔde di dwuma;mishmash
misiɔm;museum
misopedia ho nsɛm a wɔka;misopedia
misraim ho adesua;Egyptology
misraim ho ɔbenfo;Egyptologist
misrifo;Egyptian
misrifo akraman;Egyptian cobra
misrifo arabic kasa;Egyptian Arabic
misrifo ɔkraman;Egyptian goose
mississippi na ɛwɔ hɔ;Mississippi
missouri na ɛwɔ hɔ;Missouri
mister;mister
mistle thrush a wɔde hyɛ nipadua mu;mistle thrush
mistletoe a wɔfrɛ no mistletoe;mistletoe
mistralian kasa;Mistralian
misty;misty
misusuw sɛ saa;I think so
mita;meter
mita;metre
mita a wɔde si baabi a wɔde kar sisi;parking meter
mita ahinanan;square metre
mite;mite
miter;mitre
mithridates a ɔyɛ ɔkyerɛkyerɛfo;Mithridates
mithridatism a wɔde di dwuma;mithridatism
mitochondrial a ɛwɔ nipadua no mu;mitochondrial
mitochondrion a ɛwɔ nipadua no mu;mitochondrion
mitosis a ɛyɛ mmerɛw;mitosis
mitosome a ɛwɔ nipadua no mu;mitosome
mitotic a ɛyɛ adwuma;mitotic
mitotic afiri a wɔde yɛ nneɛma;mitotic spindle
mitten;mitten
mixer a wɔde fra nneɛma;mixer
miyako;Miyako
mizoram;Mizoram
mizzenmast a wɔde di dwuma;mizzenmast
mma a wɔwo;childbearing
mma mu;fulfill
mma nnhyɛn mu;do not enter
mma no nha wo;never mind
mmaa ne mmarima;ladies and gentlemen
mmabun ahɔhodan;youth hostel
mmadwoa;semen
mmadwoa a wɔfrɛ no sperm;sperm
mmae a ɛto so abien;second coming
mmaeɛ;appearance
mmamu a ɛba;fulfillment
mmamu a ɛba;fulfilment
mmara;enact
mmara;ethics
mmara;law
mmara a wodi so;law-abiding
mmara a wɔabu so;trespass
mmara a wɔde di dwuma;rule of thumb
mmara a wɔde yɛ adwuma;regulation
mmara a wɔnka;unspoken rule
mmara a ɛboro mmara so;extralegal
mmara a ɛfa nhyehyɛe ho;procedural law
mmara a ɛwɔ hɔ;bylaw
mmara adwumayɛbea;law firm
mmara ho nimdeɛ;jurisprudence
mmara ho ɔbenfo;Bachelor of Laws
mmara kwan so;lawful
mmara kwan so;legally
mmara kwan so adwene a ɛyɛ papa;legal positivism
mmara kwan so aware;common-law marriage
mmara kwan so de;legalism
mmara kwan so de;legality
mmara kwan so de;legalization
mmara kwan so de;legitimacy
mmara kwan so de;regulatory
mmara kwan so de;statutory
mmara kwan so nipa;legal person
mmara kwan so sika a wɔde tua ho ka;legal tender
mmara mu;legal
mmara mu asɛm;lawsuit
mmara ne nhyehyɛe;law and order
mmara nhyehyɛe nhyehyɛe;regulatory framework
mmara nisi;rule nisi
mmara nniso;rule of law
mmara nsɛm du;Ten Commandments
mmara so bu;infringe
mmara so bu;violation
mmara tia;illegal
mmarahyɛ bagua;legislation
mmarahyɛ bagua;legislative
mmarahyɛ bagua asennibea;constitutional court
mmarahyɛ bagua baa dwumadibea;legislative branch
mmarahyɛ bagua kuw;legislative body
mmarahyɛ bagua mmara;constitutional law
mmarahyɛ bagua mu;constitutional
mmarahyɛ bagua mu nhyehyɛe;constitutionalism
mmarahyɛ bagua no;parliament
mmarahyɛ bagua no mu nsɛm;constitutionality
mmarahyɛ bagua no muni;Member of Parliament
mmarahyɛ baguafo;legislature
mmarahyɛ baguafo;parliamentary
mmarahyɛ baguafo;regulator
mmarahyɛ baguafo;senate
mmarahyɛ baguani;congressman
mmarahyɛ baguani;congresswoman
mmarahyɛ baguani;legislator
mmarahyɛ baguani;parliamentarian
mmarahyɛ baguani;senator
mmaranim sukuu;law school
mmaranimfo;attorney
mmaranimfo;jurist
mmaranimfo;prosecutor
mmaranimfo panyin;barrister
mmaranimfo-nokwasɛm;attorney-in-fact
mmaranimni;lawyer
mmarato;transgress
mmarato;transgression
mmaratofo;lawless
mmaratofo;outlaw
mmaratofoɔ;transgressor
mmarima a wɔde wɔn ho hyɛ nnipa mu;male chauvinism
mmarima a wɔne wɔn ho da;homosexual
mmarima a wɔne wɔn ho da;homosexuality
mmarima a wɔne wɔn ho da;intersexual
mmarima a wɔne wɔn ho da aware;gay marriage
mmarima a wɔne wɔn ho da ho tan;homophobia
mmarima a wɔyɛ chauvinistic;male chauvinistic
mmarima ne mmea a wɔne wɔn ho da;heterosexism
mmarima ne mmea ntam abusuabɔ;intersex
mmarima twetiatwa;male circumcision
mmarimayɛ;manhood
mmarimayɛ;manliness
mmarimayɛ;masculinity
mmarimayɛ;virility
mmarimayɛ a ɛboro so;hypermasculinity
mmati so aduru;shoulder blade
mmati-kɔ-mmati;shoulder-to-shoulder
mmea a wokum wɔn;femicide
mmea a wɔde wɔn ho hyɛ mu;feminization
mmea a wɔne wɔn ho da;lesbianism
mmea a wɔyɛ mmea;effeminate
mmea dodow a wɔware;polygyny
mmea ho adesua;gynecology
mmea ho adwene;feminism
mmea ho asɛmpakafo;feminist
mmea ho tan;misogyny
mmea ho tan a wɔyɛ;misogynistic
mmea ho ɔyaresafo;gynaecologist
mmea ho ɔyaresafo;gynecological
mmea twetiatwa;female circumcision
mmeae a osu tɔ na owia bɔ kɛse;subtropics
mmeae a osu tɔ na owia bɔ kɛse;tropical
mmeae a osu tɔ na owia bɔ kɛse;tropics
mmeae a osu tɔ na owia bɔ kɛse ho geometry;tropical geometry
mmeafo;womenfolk
mmeamu;layer
mmeamudua ho akodi;crusade
mmeamudua ho ɔkofo;crusader
mmeamudua kɔkɔɔ;Red Cross
mmeamudua no kwan;Way of the Cross
mmeamudua so;crosswise
mmeamudua-ani;cross-eyed
mmeamudua-stitch;cross-stitch
mmebusɛm;Proverbs
mmepɔw a ɛyɛ den;mountain range
mmepɔw so;mountainous
mmepɔw so a wɔforo;mountainboarding
mmepɔw so a wɔforo;mountaineering
mmepɔw so aforosian;mountaineer
mmepɔw so ntɛtea;upland antshrike
mmepɔw so sakre a wɔde tu kwan;mountain biking
mmerantebere mu;youthful
mmerantebere mu;youthfulness
mmerantebere mu asubura;fountain of youth
mmerantebere ne mmabaabere;adolescence
mmerantebere ne mmabaabere;rejuvenation
mmere;times
mmere nhyehyɛe;chronology
mmere no ho sɛnkyerɛnne;sign of the times
mmerebu- .;chrono-
mmerɛbo ho ɔyaresafo;hepatologist
mmerɛbo mu aduru;livermorium
mmerɛbo mu ntini;liverwort
mmerɛbo mu wurst;liverwurst
mmerɛbo mu yare;hepatic
mmerɛbo mu yare;hepatitic
mmerɛbo mu yare;hepatitis
mmerɛbo mu yare a;hepatitis A
mmerɛbo mu yare b;hepatitis B
mmerɛbo mu yareɛ ho nimdeɛ;hepatology
mmerɛw;feeble
mmerɛw;frail
mmerɛw bra, mmerɛw kɔ;easy come, easy go
mmerɛw yɛ no;easy does it
mmerɛwyɛ;frailty
mmerɛwyɛ;infirmity
mmerɛwyɛ;vulnerability
mmiako mmiako;one at a time
mmiako mmiako;one by one
mmienu;double
mmienu;two
mmire;mushroom
mmirika;pace
mmirikatu a wɔde tu mmirika;sprint
mmirikatu a wɔde tu mmirika abien;biathlon
mmirikatu a ɛkɔ akyiri;run out
mmirikatu a ɛyɛ den;marathon
mmirikatu a ɛyɛ hu;run amok
mmirikatu bere;run time
mmirikatu board;running board
mmirikatu di akyi;run after
mmirikatu fa mu;run through
mmirikatu kɔ fam;run aground
mmirikatu kɔ fam;run down
mmirikatu kɔ mu;run into
mmirikatu kɔ soro;run over
mmirikatufo;racer
mmirikatufo;runner
mmirikatufo a ɔbɔ mmirika abiɛsa;triathlete
mmirkatuo bɔkɔɔ;jogging
mmiɛnsa;three
mmoa;aid
mmoa;relief
mmoa;succor
mmoa;support
mmoa a edi kan;first aid
mmoa a edi kan a wɔde ma;first aid kit
mmoa a wɔde ma;assistance
mmoa a wɔde ma;subsidize
mmoa a wɔde ma;subsidy
mmoa a wɔde wɔn ho hyɛ mu;bestiality
mmoa a wɔte nsu ne asase so;amphibian
mmoa a wɔwea fam;reptile
mmoa a wɔwea fam;reptilian
mmoa a wɔwea fam;reptilianness
mmoa a wɔyɛn wɔn;animal husbandry
mmoa a wɔyɛn wɔn;bestial
mmoa a wɔyɛn wɔn;livestock
mmoa aduan;animal feed
mmoa ahenni;animal kingdom
mmoa ahorow ntam;interspecific
mmoa hene;king of beasts
mmoa ho adesua;zoological
mmoa ho aduruyɛ;veterinary medicine
mmoa ho ɔbenfo;zoologist
mmoa ho ɔyaresafo;veterinarian
mmoa hokwan ahorow;animal rights
mmoa kwan so;animally
mmoa magnetism;animal magnetism
mmoa nwoma;reference
mmoa pon so;help desk
mmoa reba kwan so;help is on the way
mmoa yɛmmea;zoo
mmoa yɛmmea- .;zoo-
mmoadabi;locust
mmoadabi afiri;mousetrap
mmoawa a wɔde nyarewa ba;bacteria
mmoawa a wɔde nyarewa ba;bacterial
mmoawa a wɔde nyarewa ba;bacteriological
mmoawa a wɔde nyarewa ba;virus
mmoawa a wɔfrɛ wɔn mousekin;mousekin
mmoawa a wɔsɛe nnɔbae;infestation
mmoawa a wɔsɛe nnɔbae;pest
mmoawa a wɔsɛe nnɔbae;vermin
mmoawa ho adesua;bacteriology
mmoawa ho adesua;entomology
mmoawa ho adesua;virology
mmoawa ho ɔbenfo;entomologist
mmoawa nketenkete;microbe
mmoawa nketenkete;microbial
mmoawa nketenkete;microfauna
mmoawa nketenkete;microorganism
mmoawa nketenkete ho adesua;microbiology
mmoawa nketenkete ho nimdeɛ;microbiological
mmoawa nketenkete ho ɔbenfo;microbiologist
mmofra a wobu wɔn ani gu wɔn so;child neglect
mmofra a wonnya nkɔɔ sukuu;preschool
mmofra a wɔawo wɔn foforo;neonatal
mmofra a wɔfa wɔn sɛ wɔn mma;adoption
mmofra a wɔhwɛ wɔn wɔ mmofra a wɔhwɛ wɔn;foster care
mmofra a wɔto wɔn mmonnaa;pedophile
mmofra a wɔto wɔn mmonnaa;pedophilia
mmofra a wɔto wɔn mmonnaa;pedophilic
mmofra a wɔyɛ mmofra;Childermas
mmofra a wɔyɛ wɔn ayayade;child abuse
mmofra ayaresa;pediatric
mmofra de;childish
mmofra hwɛ;childcare
mmofra nsɛmmɔnedi;juvenile delinquency
mmofra oduruyɛfo;pediatrician
mmofra sukuu;kindergarten
mmofra sukuu;nursery school
mmofrasɛm;childishness
mmom;however
mmom;rather
mmom;stead
mmom sen sɛ;rather than
mmonnaato;rape
mmonnaato a mmara ma ho kwan;statutory rape
