La Gomera;La Gomera na ɔkyerɛwee
lithium battery;lithium batere a wɔde yɛ adwuma
lithium hydride;lithium hydride a wɔde yɛ adwuma
lithium oxide;lithium oxide a wɔde yɛ adwuma
lithium;lithium a wɔde yɛ adwuma
lithograph;abo so mfonini
lithographer;abo ho mfoninitwafo
lithographic;abo so ho mfonini
lithography;abo a wɔde kyerɛw nsɛm
lithology;abo ho adesua
lithosphere;lithosphere a ɛyɛ aboɔden abo
Lithuania;Lithuania na ɛwɔ hɔ
Lithuanian Hound;Lithuaniafo Ɔkraman
Lithuanian SSR;Lithuania kasa mu SSR
Lithuanian;Lithuania kasa
litmus paper;litmus krataa a wɔde yɛ adwuma
litmus;litmus a wɔde di dwuma
litotes;litotes a wɔfrɛ no litotes
litre;lita
litter;bɔɔla
little black dress;atade tuntum ketewaa bi
little boy;abarimaa ketewa bi
little brother;onua kumaa
little by little;nkakrankakra
Little Dipper;Dipper Ketekete
little egret;egret ketewaa bi
little finger;nsateaa ketewaa bi
little girl;abeawa ketewa bi
little green man;ɔbarima ketewa a ɔyɛ ahabammono
little one;ketewa bi
little owl;ɔkraman ketewa
little sister;onuawa kumaa
little woman;ɔbea ketewa bi
little;kakra
littoral;mpoano a ɛwɔ mpoano
Litueche;Litueche a wɔde di dwuma
liturgical;asɔreyɛ ho nhyehyɛe
liturgy;asɔreyɛ ho nhyehyɛe
live action;adeyɛ a ɛte ase
live and learn;tra ase na sua ade
live and let live;tra ase na ma nkwa
live up;tra ase sɛnea ɛte
live-in;a wɔte mu
live;te ase
livelihood;asetena mu nneɛma
liveliness;nkwa a wɔde yɛ adwuma
lively;a ɛyɛ nnam
liver;brɛboɔ
livermorium;mmerɛbo mu aduru
Liverpool;Liverpool
liverwort;mmerɛbo mu ntini
liverwurst;mmerɛbo mu wurst
livery;livery a wɔde yɛ nneɛma
livestock;mmoa a wɔyɛn wɔn
livid;livid a ɛyɛ mmerɛw
living dead;ateasefo a wɔawuwu
living fossil;fossil a ɛte ase
living proof;adanse a ɛte ase
living room;ahomegyebea
living will;apɛde a ɛte ase
living;tena
Livonia;Livonia na ɛwɔ hɔ
Livonian;Livonianfo na ɔkyerɛwee
livor mortis;livor mortis a ɔyɛ ɔbarima
Livornian;Livornianfo na ɔkyerɛwee
Livorno;Livorno na ɔkyerɛwee
lizard;koterɛ
Liège;Liège na ɛwɔ hɔ
Liébana;Liébana na ɔkyerɛwee
Ljubljana;Ljubljana na ɛwɔ hɔ
llama;llama na ɛyɛ
LLC;LLC
Lleida;Lleida na ɔkyerɛwee
lo and behold;hwɛ na hwɛ
lo;lo
loach;loach
load;adesoa
loaded;wɔde nneɛma ahyɛ mu
loaf;burodo
loafer;loafer a wɔde yɛ nneɛma
loam;loam
loan shark;boseabɔ a wɔfrɛ no shark
loan;besea
loanword;bosea asɛmfua
loath;akyide
loathe;akyide
loathing;akyide
Lobamba;Lobamba na ɔkyerɛwee
lobby;lobby a wɔde gye nkurɔfo
lobbyist;obi a ɔhwehwɛ nkurɔfo hɔ sika
lobe;lobe a ɛwɔ nipadua no mu
lobotomy;lobotomy a wɔde yɛ adwuma
lobster;ɔkɔre a wɔfrɛ no lobster
lobular;lobular a ɛyɛ mmerɛw
local anesthetic;aduru a wɔde kum nipadua no wɔ mpɔtam hɔ
Local Group;Mpɔtam Hɔ Kuw
Local Supercluster;Mpɔtam hɔ Supercluster
local time;mpɔtam hɔ bere so
local;mpɔtam
locale;mpɔtam hɔ
localization;localization a ɛwɔ hɔ
localize;localize
locate;hwehwɛ baabi a ɛwɔ
location;beaeɛ
locative case;beae ho asɛm
Loch Ness monster;Loch Ness aboa kɛse bi
Loch Ness;Loch Ness na ɛwɔ hɔ
lochia;lochia a wɔfrɛ no lochia
Lochkovian;Lochkovian na ɔkyerɛwee
lock up;lock up
lock;to mu
lockdown;danmuhyɛ
locked rotor amp;a wɔatoto rotor amp
locked;wɔatoto mu
locker;locker a wɔde nneɛma gu mu
locket;locket a wɔde yɛ nneɛma
locks;apon a wɔde to mu
locksmith;apontow ho adwumayɛfo
locksmithing;afiri a wɔde yɛ apon ano
locomotion;locomotion
locomotive;keteke a wɔde fa nnipa
locus;locus a ɛwɔ hɔ
locust;mmoadabi
lode;lode
lodestone;lodestone, aboɔden abo
lodge;ahɔhodan mu
lodger;obi a ɔte ahɔhodan mu
lodging;dabere a wɔde ma
loess;loess na ɛyɛ
loft;loft a ɛwɔ soro
lofty;a ɛkorɔn
log in;kɔ mu
log out;fi mu kɔ mu
log;dua
loganberry;loganberry a ɛyɛ fɛ
logarithm;logarithm a wɔde di dwuma
logarithmic;logarithmic a wɔde di dwuma
logbook;logbook a wɔde kyerɛw nsɛm
logger;logger
logic gate;logic aponkɛse
logic;ntease a ɛwɔ mu
logical connective;ntease mu nkitahodi
logical;ntease wom
logically;ntease wom
logician;ntease ho ɔbenfo
logion;logion
logistic;logistic a ɛfa nneɛma ho
logistics;nneɛma a wɔde kɔ baabiara
logjam;logjam a wɔde kyerɛw nsɛm
logo;ahyɛnsode
logogriph;logogriph a wɔde kyerɛw nsɛm
logopedics;logopedics ho nsɛm
logorrhea;logorrhea a ɛyɛ mmerɛw
logotype;logotype
Logroño;Logroño na ɔkyerɛwee
logwood;nnua a wɔde nnua ayɛ
loin;loin
loincloth;asen mu ntama
Loire;Loire na ɔkyerɛwee
loiter;loiter a ɔyɛ ɔkwasea
loitering;a wɔkyinkyin
Lojban;Lojban na ɔkyerɛwee
LOL;HAHA
loll;loll
lollipop;lollipop a wɔde yɛ nneɛma
Lolol;Lolol na ɛyɛe
Lombard rate;Lombardfo dodow a wɔde di dwuma
Lombard Street;Lombard Abɔnten so
Lombard;Lombard na ɔkyerɛwee
Lombardy;Lombardy na ɛwɔ hɔ
Lomé;Lomé na ɔkyerɛwee
London Underground;London Asase ase
London;London
Londoner;Londonni na ɔyɛ
lone;lone
loneliness;ankonamyɛ
lonely;ankonam
loner;obiakofo
lonesome;ankonamyɛ
long ago;bere tenten a atwam ni
long drink;anom bere tenten
long face;anim tenten
long for;kɔn dɔ
long haul;akyirikyiri
long in the tooth;tenten wɔ ɛse no mu
Long Island;Long Supɔw so
long johns;long johns
long line;line tenten
long live;nkwa tenten
long primer;primer tenten
long s;tenten s
long service leave;ɔsom akwamma bere tenten
long story short;asɛm tenten tiawa
long time no see;hyiaeɛ akyɛ
long ways, long lies;akwan tenten, atosɛm atenten
long weekend;dapɛn awiei tenten
long-eared owl;ɔkraman a n’aso tenten
long-legged buzzard;ɔkraman a ne nan atenten
long-legged;a ne nan atenten
long-lived;a ɛtra hɔ kyɛ
long-term;bere tenten mu
long-winded;mframa tenten
long;tenten
longan;longan
longbow;agyan tenten
longevity;nkwa tenten
longhorn;abɛn tenten
longing;akɔnnɔ
longitude;longitude a ɛyɛ tenten
longitudinal wave;asorɔkye a ɛkɔ akyiri
longitudinal;tenten a ɛkɔ akyiri
longitudinally;bere tenten mu
longship;hyɛn tenten
longshoreman;longshoreman a ɔyɛ adwuma wɔ mpoano tenten
longspine snipefish;longspine snipefish a wɔde wɔn ho hyɛ mu
longsword;nkrante tenten
Longyearbyen;Longyearbyen na ɛwɔ hɔ
lonsdaleite;lonsdaleite a wɔde di dwuma
look after;hwɛ
look at;hwɛ
look back;hwɛ w’akyi
look before you leap;hwɛ ansa na woahuruw
look down on;hwɛ animtiaabu so
look down one's nose;hwɛ obi hwene ase
look for;hwehwɛ
look forward to;hwɛ kwan sɛ
look like;hwɛ sɛnea
look over;hwɛ soro
look the part;hwɛ ɔfã no
look up to;hwɛ soro ma
look up;hwɛ soro
look;hwɛ
lookalike;lookalike
loom;loom
loon;loon
loop;ɛpɔ
loophole;ɔkwan a wɔfa so yɛ ade
loose cannon;aprɛm a ɛho ayɛ hare
loose change;nsakrae a ɛyɛ loose
loose ends;n’awiei a ɛho ayɛ hare
loose;mrɛ
loosen;gyae wo ho
loot;asade
looting;afow a wɔfow nneɛma
lop;lop
lope;lope
loppers;loppers a wɔyɛ
lopsided;a ɛyɛ lopsided
loquacious;ɔkasafo a wɔka kasa
loquacity;kasa a wɔka no kasa
loquat;loquat a wɔde di dwuma
Lorcan;Lorcan na ɔkyerɛwee
Lord's Prayer;Awurade Mpaebɔ
lord;owura
lordly;awuradefo
lordosis;lordosis a ɛma obi nya ɔyare
lordship;awuradeyɛ
lore;lore
Lorraine;Lorraine na ɔkyerɛwee
lorry;lɔre a wɔde fa nneɛma
Los Angeles;Los Angeles na ɛwɔ hɔ
lose count;hwere akontaabu
lose face;hwere anim
lose heart;hwere koma
lose one's head;obi ti hwere
lose one's mind;obi adwene hwere
lose one's temper;obi bo fuw
lose one's virginity;obi hwere ne baabun
lose weight;wo mu duru so tew
lose;hwere
loser;ɔhweree ade
losing streak;losing streak
loss leader;ɔkannifo a ɔhwere ade
loss;ɛka
lost and found;ayera na wɔahu
lost generation;awo ntoatoaso a ayera
Lost River Range;Asubɔnten a Ayera
lost;hwere
lot;dodoɔ
lothario;lothario na ɔkyerɛwee
lotion;lotion a wɔde yɛ aduru
lottery ticket;loto tekiti a wɔde di dwuma
lottery;loto a wɔbɔ
lotus foot;lotus nan ho
lotus position;lotus gyinabea
lotus seed;lotus aba a wɔfrɛ no lotus aba
lotus shoe;lotus mpaboa a wɔde yɛ
lotus;lotus a wɔfrɛ no lotus
Lou Gehrig's disease;Lou Gehrig yare no
loud;den
loudly;denneennen
loudmouth;ano denden
loudness;nnyigyei a ano yɛ den
loudspeaker;akasam a wɔde yɛ adwuma
louis d'or;louis d’or na ɔkyerɛwee
Louis;Louis na ɔkyerɛwee
Louise;Louise na ɔkyerɛwee
Louisiana;Louisiana na ɛwɔ hɔ
lounge;dwodwo wo ho
lounger;lounger a wɔde hyɛ mu
Lourdes;Lourdes na ɔkyerɛwee
louse;louse
lousy;lousy a ɛyɛ fɛ
lout;lout
Louvain;Louvain na ɔkyerɛwee
louvar;louvar a ɛyɛ fɛ
louver;louver a wɔde hyɛ mu
Louvre;Louvre na ɛwɔ hɔ
lovable;nea wɔdɔ no
lovableness;ɔdɔ a wɔdɔ
lovage;lovage a ɛyɛ fɛ
love affair;ɔdɔ ho asɛm
love at first sight;ɔdɔ a wodi kan hu no
love bite;ɔdɔ a ɛka obi
love child;ɔdɔ abofra
love egg;ɔdɔ ɛmo
love goggles;ɔdɔ ahwehwɛ a wɔde hwɛ ade
love handle;ɔdɔ nsa
love hotel;ɔdɔ ahɔhodan
love is blind;ɔdɔ yɛ anifuraefo
love letter;ɔdɔ krataa
love seat;ɔdɔ nkongua
love song;ɔdɔ dwom
love triangle;ɔdɔ ahinanan
love-in-a-mist;ɔdɔ-wɔ-nsuo mu
love;ɔdɔ
lovebird;ɔdɔ anomaa
loved one;ɔdɔfo bi
loveless;ɔdɔ a wonni
lovely;anika
lover;ɔdɔfo
lovesick;ɔdɔ yare
loving;ɔdɔ mu
lovingly;ɔdɔ mu
low blow;ɔhwe a ɛba fam
Low Countries;Aman a Wɔba fam
low Earth orbit;Asase so kyinhyia a ɛba fam
Low German;German kasa a ɛba fam
Low Saxon;Saxonfo a wɔba fam
low season;bere a ɛba fam
low tide;asorɔkye a ɛba fam
low-budget;sikasɛm nhyehyɛe a ɛba fam
low-resolution;a ɛyɛ nea ɛba fam
low;fam
lower case;nkyerɛwde nketewa
lower class;adesuakuw a ɛba fam
Lower Saxony;Saxony a ɛwɔ fam
lower;deɛ ɛwɔ fam
lowering;a wɔde si fam
lowland;asasetaw a ɛwɔ fam
loyal;ɔdɔ
loyally;nokwaredi mu
loyalty;nokorɛdie
lozenge;lozenge a wɔde yɛ nneɛma
Luanda;Luanda na ɔkyerɛwee
lubricant;srade a wɔde yɛ srade
lubricate;srade a wɔde sra so
lubrication;srade a wɔde srade gu mu
lubricous;srade a wɔde srade ayɛ
Lucerne;Lucerne na ɔkyerɛwee
Lucian;Lucian na ɔkyerɛwee
lucid dream;lucid daeɛ
lucid;lucid a ɛyɛ hu
lucidity;lucidity a ɛyɛ nokware
lucidly;lucidly
lucidness;lucidness a ɛyɛ hu
Lucifer;Lusifer na ɔkyerɛwee
Lucite;Lucite na ɔkyerɛwee
luck out;luck out
luck;ti pa
luckily;anigyesɛm ne sɛ
lucky charm;lucky charm
Lucky Charms;Lucky Charms a ɛyɛ anigye
lucky;tiri nkwa
lucrative;a ɛma wonya sika pii
lucre;sika a wonya fi mu
Lucy;Lucy na ɔkyerɛwee
Luddite;Luddite kasa
Ludfordian;Ludfordian kasa mu
ludic;ludic
ludicrous;a ɛyɛ fɛwdi
Ludo;Ludo na ɔkyerɛwee
Ludwig's angina;Ludwig a ɔyɛ angina
luggage cart;nneɛma teaseɛnam
luggage rack;baabi a wɔde nneɛma gu
luggage;ɔkwantuni bɔtɔ
Lugo;Lugo na ɔkyerɛwee
lugubrious;lugubrious a ɛyɛ awerɛhow
Luke;Luka
lukewarm;a ɛyɛ hyew
lull;lull
lullaby;lullaby a wɔde bɔ nnwom
lumbago;lumbago a ɛyɛ den
lumbar puncture;akyi berɛmo a wɔtow
lumbar vertebra;akyi berɛmo mu akyi berɛmo
lumbar;lumbar
lumber;nnua a wɔde yɛ nneɛma
lumberjack;nnuatwafo
lumenal;lumenal na ɛyɛ adwuma
luminescence;hann a ɛma hann
luminol;luminol a wɔde di dwuma
luminosity;hann a ɛhyerɛn
luminous;hann a ɛhyerɛn
luminously;hann mu
lummox;lummox a wɔde yɛ nneɛma
lump sum;sika a wɔde boa pɛnkoro
lump;dwoa
lumpenproletariat;lumpenproletariat a wɔde yɛ adwuma
lumpsucker;lumpsucker a ɛyɛ akuturuku
lunacy;abɔdamfo
lunar eclipse;ɔsram a ɛbɛtɔ
lunar module;ɔsram so module
lunar phase;ɔsram no fã
lunar;ɔsram so
lunatic;ɔkraman
lunch;awia aduane
lunchbox;awia aduan adaka
Lunfardo;Lunfardo na ɔkyerɛwee
lung cancer;ahurututu mu kokoram
lung volume;ahurututu mu nne kɛse
lung;ahurututu mu
lunge;lunge
lupin;lupin a wɔde yɛ adwuma
lupus;lupus a ɛyɛ hu
lurch;lurch
lure;lure
lurid;lurid
lurk;lurk
lurker;lurker
Lusaka;Lusaka na ɔkyerɛwee
Lusatia;Lusatia na ɔkyerɛwee
lush;lush
Lusitania;Lusitania na ɔkyerɛwee
Luso-;Luso- .
Lusophone;Lusophone a wɔde di dwuma
lust;akɔnnɔ bɔne
luster;luster
lustful;akɔnnɔ bɔne
lustfully;akɔnnɔ mu
lustrous;lustrous
lustrum;lustrum a wɔde hyɛ nipadua mu
lute;lute (lute) a wɔde di dwuma
Lutetian;Lutetian a ɔyɛ ɔkyerɛwfo
lutetium;lutetium a wɔfrɛ no lutetium
Lutheran;Lutherfo kasa
Lutheranism;Lutheransom
Luwian;Luwian na ɔkyerɛwee
lux;lux
luxate;luxate a wɔde yɛ nneɛma
Luxembourg;Luxembourg na ɛwɔ hɔ
Luxembourger;Luxembourgfoɔ na wɔte saa
Luxembourgish;Luxembourgfo kasa
luxurious;afɛfɛde a ɛyɛ fɛ
luxury good;afɛfɛde pa
luxury;yieyɔ
Luzon;Luzon na ɔkyerɛwee
Lviv;Lviv
lyase;lyase
lycanthropy;lycanthropy a wɔde yɛ ade
lyceum;lyceum a wɔfrɛ no lyceum
lychee;lychee a wɔde yɛ aduan
Lycia;Likia
lycée;lycée a wɔfrɛ no lycée
Lydia;Lidia
lye;lye
Lyme disease;Lyme yare no
lymph node;lymph node a ɛma mogya tu
lymph;lymph a ɛma mogya tu
lymphatic;lymphatic a ɛma mogya tu
lymphocyte;lymphocyte a ɛma mogya tu
lymphoid;lymphoid a ɛma mogya tu
lymphokine;lymphokine a ɛma mogya tu
lymphoma;lymphoma a ɛma mogya tu
lynch;lynch a wɔfrɛ no lynch
lynching;lynching a wɔde di dwuma
lynx;lynx a wɔfrɛ no lynx
Lyons;Lyons na ɔkyerɛwee
Lyra;Lyra na ɔkyerɛwee
lyre;lyre a wɔfrɛ no lyre
lyrebird;lyrebird a wɔfrɛ no lyrebird
lyric poetry;anwensɛm a wɔde nnwom a ɛyɛ dɛ di
lyricist;nnwom kyerɛwfo
lyrics;nnwom no mu nsɛm
lysine;lysine a wɔde yɛ adwuma
lysis;lysis a ɛyɛ mmerɛw
lysosome;lysosome a wɔfrɛ no lysosome
lysozyme;lysozyme a wɔfrɛ no lysozyme
lyxose;lyxose a wɔfrɛ no lyxose
Löwchen;Löwchen na ɔkyerɛwee
