c major;C major
chimera a ɛyɛ chimera;chimera
chimerical a wɔde yɛ ade;chimerical
chimpanzee a ɔyɛ ɔkraman;chimpanzee
china;China
china ankasa;China proper
china apuei fam po no;East China Sea
china asasepɔn no so;mainland China
china kasa a wɔayɛ no mmerɛw;Simplified Chinese
china ne korea kasa;Sino-Korean
china po ahorow;China Seas
china ɔfasu kɛse;Great Wall of China
china ɔmanpanyin;Republic of China
chinafo;Chinese
chinafo a wɔwɔ amannɔne;overseas Chinese
chinafo a wɔyɛ checkers;Chinese checkers
chinafo adesua;Chinese studies
chinafo amammerɛ;Traditional Chinese
chinafo buddhasom;Chinese Buddhism
chinafo mugwort a wɔfrɛ no mugwort;Chinese mugwort
chinafo nkyerɛwde;Chinese character
chinafo nsateaa afiri;Chinese finger trap
chinafo nsɛm a ɛyɛ sereserew;Chinese whispers
chinafo ogya ho adesua;Chinese fire drill
chinafo sinamon;Chinese cinnamon
chinafo ɔkraman a ɔwɔ crested;Chinese Crested Dog
chinandega na ɔkyerɛwee;Chinandega
chinatown na ɛwɔ hɔ;Chinatown
chinchilla a wɔfrɛ no chinchilla;chinchilla
chindia na ɛwɔ hɔ;Chindia
chinglish kasa mu;Chinglish
chinois a wɔfrɛ no chinois;chinois
chinoiserie a wɔde yɛ nneɛma;chinoiserie
chinook salmon a wɔfrɛ no salmon;chinook salmon
chip;chip
chipmunk a wɔfrɛ no chipmunk;chipmunk
chipolata a wɔfrɛ no chipolata;chipolata
chipset a wɔde ahyɛ mu;chipset
chirality (chirality) a ɛwɔ hɔ;chirality
chiromancer a ɔyɛ ɔbarima;chiromancer
chiromancy a wɔde di dwuma;chiromancy
chirp;chirp
chirr;chirr
chisel a wɔde ayɛ nneɛma;chisel
chisinau na ɔkyerɛwee;Chisinau
chit-nkɔmmɔbɔ;chit-chat
chita na ɔkyerɛwee;Chita
chitin;chitin
chitinous a ɛyɛ hu;chitinous
chitosan a wɔfrɛ no chitosan;chitosan
chitral na ɔkyerɛwee;Chitral
chitterlings a wɔde wɔn ho hyɛ mu;chitterlings
chive;chive
chlamydia a wɔde di dwuma;chlamydia
chloe na ɔkyerɛwee;Chloe
chlorate a wɔde yɛ nneɛma;chlorate
chloric acid a wɔde yɛ aduru;chloric acid
chloride a wɔde yɛ adwuma;chloride
chlorinate a wɔde yɛ nneɛma;chlorinate
chlorine a wɔde yɛ nneɛma;chlorine
chlorite a wɔde yɛ nneɛma;chlorite
chloroform a wɔde yɛ aduru;chloroform
chlorogenic a ɛma nipadua no yɛ adwuma;chlorogenic
chlorophyll a wɔfrɛ no chlorophyll a wɔfrɛ no chlorophyll;chlorophyll
chloroplast a wɔfrɛ no chloroplast;chloroplast
chochenyo na ɔkyerɛwee;Chochenyo
chock;chock
chocolate a wɔayam;chocolate chip
chocolate a wɔde yɛ adwuma;chocolatier
chocolate a ɛyɛ hyew;hot chocolate
chocolate fitaa;white chocolate
chocolate keeki a wɔde yɛ keeki;chocolate cake
chocolate nufusu;chocolate milk
chocolate truffle a wɔde yɛ aduan;chocolate truffle
choke;choke
cholangiocarcinoma a ɛma obi nya kokoram;cholangiocarcinoma
cholangiography a wɔde yɛ nhwehwɛmu;cholangiography
cholangiole a ɛwɔ nipadua no mu;cholangiole
cholecystectomy a wɔde twa akisikuru;cholecystectomy
cholecystokinin a ɛwɔ nipadua no mu;cholecystokinin
choleric a ɛma obi ho yɛ hyew;choleric
cholerine a wɔde yɛ aduru;cholerine
choline a wɔfrɛ no choline;choline
cholla;cholla
chontales a ɛyɛ dɛ;Chontales
chop-chop a wɔde twitwa;chop-chop
chopper a wɔde yɛ nneɛma;chopper
chopping board a wɔde twitwa nneɛma;chopping board
chopstick a wɔde yɛ aduan;chopstick
chopstick ahomegye;chopstick rest
chord a ɛyɛ dɛ;chord
chordophone a wɔde bɔ nnwom;chordophone
choreograph a wɔde yɛ nnwom;choreograph
choreographer a ɔhwɛ nnwom so;choreographer
choreographic a wɔde yɛ nnwom;choreographic
choreography a wɔde yɛ nnwom;choreography
chorizo;chorizo
chortle a ɛyɛ hu;chortle
chough;chough
chouse;chouse
choux paanoo a wɔde yɛ paanoo;choux pastry
chow mein a wɔfrɛ no chow mein;chow mein
chrematistics a wɔde yɛ nneɛma;chrematistics
chrestomathy a ɛyɛ mmerɛw;chrestomathy
chrism a wɔde di dwuma;chrism
christadelphian na ɔkyerɛwee;Christadelphian
christina na ɔkyerɛwee;Christina
christopher na ɔkyerɛwee;Christopher
chromate a wɔde yɛ nneɛma;chromate
chromatic a ɛyɛ kɔla;chromatic
chromatic aberration a ɛyɛ nwonwa;chromatic aberration
chromatid a ɛwɔ nipadua no mu;chromatid
chromatin a ɛma nipadua no yɛ adwuma;chromatin
chromatography a wɔde yɛ nneɛma;chromatography
chromatophore a wɔde yɛ nneɛma;chromatophore
chrome a wɔde yɛ adwuma;chrome
chromite a wɔde yɛ nneɛma;chromite
chromium a wɔde yɛ nneɛma;chromium
chromophore a ɛma nipadua no yɛ adwuma;chromophore
chromosomal a ɛwɔ nipadua mu;chromosomal
chromosome a ɛwɔ nipadua no mu;chromosome
chromosphere a ɛwɔ nipadua no mu;chromosphere
chrysalis a wɔfrɛ no chrysalis;chrysalis
chrysanthemum a wɔde yɛ aduru;chrysanthemum
chrysoberyl a wɔde yɛ aduru;chrysoberyl
chrysoprase a wɔde yɛ aduru;chrysoprase
chuchotage a wɔde di dwuma;chuchotage
chuck;chuck
chuckwalla na ɛyɛ;chuckwalla
chufa;chufa
chug;chug
chukchi na ɔkyerɛwee;Chukchi
chukchi supɔw so;Chukchi Peninsula
chukotka na ɔkyerɛwee;Chukotka
chullo;chullo
chum kɔ soro;chum up
chumash na ɔkyerɛwee;Chumash
chunk;chunk
churchillian na ɔkyerɛwee;Churchillian
churl;churl
churlish a ɛyɛ nwonwa;churlish
churn;churn
churro;churro
chutney a ɛyɛ fɛ;chutney
chutzpah na ɛyɛ;chutzpah
chuvash na ɔkyerɛwee;Chuvash
chuvashia na ɔkyerɛwee;Chuvashia
chyle;chyle
chyme na ɛyɛ;chyme
chymotrypsin a wɔde yɛ aduru;chymotrypsin
ciabatta na ɔkyerɛwee;ciabatta
cicada a wɔfrɛ no cicada;cicada
cicero na ɔkyerɛwee;Cicero
ciceronian na ɔkyerɛwee;Ciceronian
cicisbeo a wɔde di dwuma;cicisbeo
cider a wɔfrɛ no cider;cider
cilantro a wɔde yɛ cilantro;cilantro
ciliary ntini a ɛwɔ nipadua no mu;ciliary muscle
ciliate a ɛyɛ mmerɛw;ciliate
ciliated a wɔde ahyɛ mu;ciliated
cilium (cilium) a wɔfrɛ no cilium;cilium
cimmerian kasa mu;Cimmerian
cinchona a wɔfrɛ no cinchona;cinchona
cinder a ɛyɛ fɛ;cinder
cinder cone a wɔde yɛ nneɛma;cinder cone
cinderella a wɔfrɛ no cinderella;Cinderella
cipher a wɔde kyerɛw nsɛm;cipher
circadian a wɔde di dwuma;circadian
circadian nnyigyei a ɛyɛ dɛ;circadian rhythm
circe na ɔkyerɛwee;Circe
circinus a ɛwɔ hɔ;Circinus
circuit tiawa;short circuit
circumbendibus a ɛwɔ hɔ;circumbendibus
circumfix a wɔde di dwuma;circumfix
circumflex a ɛtwa ho hyia;circumflex
circus a ɛyɛ asaw;circus
cirl bunting a wɔde di dwuma;cirl bunting
cirrhosis a ɛma obi ho kyere no;cirrhosis
cirrocumulus a ɛwɔ nipadua no mu;cirrocumulus
cirrus a wɔfrɛ no cirrus;cirrus
cis;CIS
cis-trans isomerism a wɔde di dwuma;cis-trans isomerism
cisgender a ɛyɛ ɔbarima ne ɔbea nna;cisgender
citadel a ɛyɛ abankɛse;citadel
citation a ɛho hia;citation needed
citrate a wɔde yɛ aduru;citrate
citric a wɔde yɛ nneɛma;citric
citric acid a wɔde yɛ aduru;citric acid
citrus a wɔfrɛ no citrus;citrus
cittern a wɔde kyerɛw nsɛm;cittern
ciudad real na ɔkyerɛwee;Ciudad Real
civet a wɔfrɛ no civet;civet
civil;civil
clacky a ɛyɛ clacky;clacky
clad;clad
cladding a wɔde kata so;cladding
clade (clade) a wɔde di dwuma;clade
cladode a wɔde di dwuma;cladode
cladogram a wɔde kyerɛw nsɛm;cladogram
clairvoyance a ɛma wohu ade yiye;clairvoyance
clairvoyant a ɔhwɛ ade yiye;clairvoyant
clam;clam
clam chowder a wɔde yɛ aduan;clam chowder
clamp a wɔde hyɛ mu;clamp
clamp down wɔ so;clamp down on
clamp nkitahodi;clamp connection
clangour a ɛyɛ den;clangour
clapperboard a wɔde kyerɛw nsɛm;clapperboard
claptrap a wɔbɔ;claptrap
clara na ɔkyerɛwee;Clara
claret a ɛyɛ hu;claret
clarinet a wɔde bɔ nnwom;clarinet
clarinet sankubɔfo;clarinetist
clasp a wɔde kyekyere;clasp
classic;classic
classical a wɔde di dwuma;classical
classicism a wɔde di dwuma wɔ tete mmere mu;classicism
clastic a ɛyɛ mmerɛw;clastic
claude na ɔkyerɛwee;Claude
claudia na ɔkyerɛwee;Claudia
claustrophobia a ɛyɛ hu;claustrophobia
claustrophobic a ɛyɛ hu;claustrophobic
clavichord a ɛyɛ den;clavichord
clavicle a ɛwɔ akyi;clavicle
clavicular a ɛwɔ akyi;clavicular
clavicytherium a ɛwɔ nipadua no mu;clavicytherium
claw;claw
claw hama a wɔde yɛ hama;claw hammer
clearance a wɔde ma;clearance
clearing;clearing
cleat a ɛyɛ den;cleat
cleavage a ɛyɛ mmerɛw;cleavage
cleave no mu;cleave
cleaver a ɔyɛ ɔkwasea;cleaver
clef;clef
cleopatra na ɔkyerɛwee;Cleopatra
clepsydra a wɔfrɛ no clepsydra a wɔfrɛ no clepsydra;clepsydra
cleveland;Cleveland
clevis pin a ɛyɛ den;clevis pin
cliché a wɔde di dwuma;cliché
clinch a wɔde di dwuma;clinch
clinch nut a wɔde hyɛ mu;clinch nut
cling film;cling film
cliometric ho ɔbenfo;cliometrician
clipboard a wɔde kyerɛw nsɛm;clipboard
clipeus a wɔfrɛ no clipeus;clipeus
clique a wɔde wɔn ho hyɛ mu;clique
clitic a ɛyɛ mmerɛw;clitic
clitoral glans a ɛwɔ nipadua no mu;clitoral glans
clitoral hood a ɛwɔ nipadua no mu;clitoral hood
clitoridectomy a wɔde twa awotwaa mu;clitoridectomy
clitoris a ɛwɔ nipadua no mu;clitoris
cloaca a wɔfrɛ no cloaca;cloaca
clobber a wɔde yɛ nneɛma;clobber
cloche (cloche) a wɔfrɛ no cloche;cloche
clod;clod
clodhopper a wɔde di dwuma;clodhopper
cloelia na ɔkyerɛwee;Cloelia
clog;clog
clone a wɔde yɛ nneɛma;clone
close frɛ;close call
close-cropped a wɔatwa no;close-cropped
closemouthed;closemouthed
clotilda a wɔfrɛ no clotilda;Clotilda
cloudberry a ɛyɛ den;cloudberry
clove a ɛyɛ den;clove
clover a nhaban anan wom;four-leaf clover
clover a wɔfrɛ no clover;clover
clown twa ho hyia;clown around
clownfish a wɔfrɛ no clownfish;clownfish
cloying a wɔde yɛ nneɛma;cloying
club;club
clubbing a wɔde wɔn ho hyɛ mu;clubbing
clubfoot a wɔde di dwuma;clubfoot
cluck a ɛyɛ den;cluck
clunker a ɛyɛ den;clunker
clusterfuck a ɛyɛ akuwakuw;clusterfuck
clutch a wɔde hyɛ mu;clutch
clymene a ɔyɛ ɔmanpanyin;Clymene
cng;CNG
cnidarianfoɔ;cnidarian
cnidocyte a ɛwɔ nipadua no mu;cnidocyte
cns;CNS
co- .;co-
co-locate a wɔde wɔn ho hyɛ mu;co-locate
co-opt a wɔde yɛ adwuma;co-opt
coach driver;coach driver
coadjutor a ɔyɛ adwuma;coadjutor
coagulate a ɛma mogya tu;coagulate
coahuila na ɔkyerɛwee;Coahuila
coalesce a wɔde bɛka abom;coalesce
coalescer a ɛyɛ adwuma;coalescer
coarse a ɛyɛ mmerɛw;coarse
coaster a wɔde di dwuma;coaster
coati;coati
coati a ne hwene yɛ fitaa;white-nosed coati
coax;coax
coaxial a ɛwɔ hɔ;coaxial
cobalt a wɔde yɛ nneɛma;cobalt
cobb salad a wɔde yɛ aduan;Cobb salad
cobble a wɔde ayɛ;cobble
cobbler a ɔyɛ adwuma;cobbler
cobia;cobia
coca;coca
coca-cola a wɔde yɛ aduan;Coca-Cola
cocaine a wɔde di dwuma;cocaine
coccygeal a ɛyɛ mmerɛw;coccygeal
coccygectomy a wɔtwe fi nipadua no mu;coccygectomy
coccyx a ɛyɛ mmerɛw;coccyx
cocha antshrike a wɔde wɔn ho hyɛ mu;Cocha antshrike
cochineal a wɔde yɛ nneɛma;cochineal
cochlea a ɛyɛ mmerɛw;cochlea
cochlear a ɛyɛ mmerɛw;cochlear
cockade a wɔde di dwuma;cockade
cockaigne na ɛyɛ adwuma;Cockaigne
cocked;cocked
cockle a wɔde di dwuma;cockle
cocktail;cocktail
cocktail apontow;cocktail party
cocktail atade a wɔhyɛ;cocktail dress
cocktail bar a wɔnom;cocktail bar
cocktail dua a wɔde yɛ adwuma;cocktail stick
cocktail kyɛw;cocktail hat
cocktease a wɔde di dwuma;cocktease
cocky a ɔyɛ;cocky
cocytus a wɔfrɛ no cocytus;Cocytus
cod;cod
cod mmerɛbo mu ngo;cod liver oil
coddle;coddle
code-switching a wɔde di dwuma;code-switching
codec a wɔde di dwuma;codec
codegua na ɔkyerɛwee;Codegua
codeine a wɔfrɛ no codeine;codeine
coder a wɔde kyerɛw nsɛm;coder
codex a wɔde kyerɛw nsɛm;codex
codicil a wɔfrɛ no codicil;codicil
codon a wɔfrɛ no codon;codon
coe;CoE
coeenterate a wɔde wɔn ho hyɛ mu;coelenterate
coelacanth a wɔfrɛ no coelacanth;coelacanth
coelomate a ɛwɔ nipadua no mu;coelomate
coenzyme a wɔde yɛ adwuma;coenzyme
coeur d’alene na ɔkyerɛwee;Coeur d'Alene
cofactor a ɛyɛ adwuma;cofactor
coffle a wɔde hyɛ obi nsa;coffle
cog;cog
cogent a ɛyɛ nokware;cogent
cogitate a wɔde susuw nneɛma ho;cogitate
cognac a wɔde di dwuma;cognac
cognomen a wɔde di dwuma;cognomen
cognoscente a ɛkyerɛ sɛ obi yɛ ade;cognoscente
cohomology a ɛfa nneɛma a wɔbom yɛ ho;cohomology
cohyponym a wɔde di dwuma;cohyponym
coil;coil
coimbra na ɔkyerɛwee;Coimbra
coinsurer a ɔyɛ adwuma wɔ hɔ;coinsurer
coir;coir
coitus interruptus a ɛwɔ ɔbarima ne ɔbea nna mu;coitus interruptus
coke a wɔde yɛ nneɛma;coke
cola;cola
colander a wɔde yɛ nneɛma;colander
cole;cole
colectomy a wɔde yɛ nneɛma;colectomy
colemanite a wɔde di dwuma;colemanite
coleslaw a wɔde yɛ nneɛma;coleslaw
colewort a wɔde di dwuma;colewort
colic a ɛyɛ mmerɛw;colic
colima na ɔkyerɛwee;Colima
collage a wɔde yɛ adwuma;collage
collate a wɔde boaboa ano;collate
collateral a wɔde gyina so;collateral
collateral damage a wɔsɛe no;collateral damage
collet;collet
collider a ɛbɔ;collider
colligative a wɔde di dwuma;colligative
collimate a wɔde di dwuma;collimate
collocation a wɔde wɔn ho hyɛ mu;collocation
colloid a wɔfrɛ no colloid;colloid
colocynth a wɔde yɛ aduru;colocynth
cologne na ɛwɔ hɔ;Cologne
colombia;Colombia
colombia ɔmanpanyin;Republic of Colombia
colombiafo a wɔyɛ wɔn ade;Colombianism
colombiafo kɔn mu krataa;Colombian necktie
colombiani;Colombian
colombo na ɛwɔ hɔ;Colombo
colon;colon
colonize;colonise
colonnade a wɔde gyina hɔ;colonnade
colony;colony
colorado;Colorado
colorectal a ɛwɔ akyi;colorectal
colossal a ɛyɛ kɛse;colossal
colosseum a ɛwɔ hɔ;Colosseum
colossus a ɛyɛ kɛse;colossus
colostrum a ɛma mogya tu;colostrum
colposcope a wɔde hwɛ ade;colposcope
colter a wɔfrɛ no colter;colter
coltsfoot a wɔfrɛ no coltsfoot;coltsfoot
colubrid a wɔde yɛ aduru;colubrid
colugo a wɔfrɛ no colugo;colugo
columba na ɔkyerɛwee;Columba
columbiafo nsesae;Columbian Exchange
columbine a wɔde yɛ adwuma;columbine
columbus na ɔkyerɛwee;Columbus
columella a wɔfrɛ no columella;columella
colza a wɔfrɛ no colza;colza
colón;colón
comanche na ɔkyerɛwee;Comanche
combination lock;combination lock
combinatorics a wɔde di dwuma;combinatorics
combine harvester no;combine harvester
combover a wɔde hyɛ mu;combover
comer;comer
comestible a wotumi di;comestible
comeuppance a wɔde di dwuma;comeuppance
comitative asɛm a ɛfa asɛm no ho;comitative case
comitology ho adesua;comitology
commander nsupɔw so;Commander Islands
commensal a wɔde hyɛ mu;commensal
commensalism a wɔde di dwuma;commensalism
commode a wɔde yɛ adwuma;commode
common gull;common gull
commoner;commoner
commune;commune
commutativity a wɔde di dwuma;commutativity
como;Como
comorbidity a ɛba;comorbidity
comorianfoɔ;Comorian
comoros na ɛwɔ hɔ;Comoros
compact;compact
compact disc a wɔde di dwuma;compact disc
compactness a ɛyɛ den;compactness
compiler a ɔboaboa nneɛma ano;compiler
compline;compline
component;component
comport a wɔde di dwuma;comport
compost a wɔaboaboa ano;compost heap
compost a wɔde yɛ nneɛma;compost
compote a wɔde yɛ nneɛma;compote
compress;compress
comprise na ɛyɛ;comprise
compunction a ɛyɛ yaw;compunction
con;con
con artist a ɔyɛ ɔkofo;con artist
con game;con game
conakry na ɔkyerɛwee;Conakry
concatenate a wɔde abɔ mu;concatenate
concave a ɛyɛ kɔntɔnkrɔn;concave
concavity a ɛyɛ kɔntɔnkrɔn;concavity
concentric a ɛwɔ adwene mu;concentric
concertina a ɛyɛ nwonwa;concertina
concerto a wɔde di dwuma;concerto
concession a wɔde ma;concession
concessive;concessive
conch;conch
conching (conching) a ɛyɛ den;conching
concoct a wɔde yɛ adwuma;concoct
concoction a wɔde ahyɛ mu;concoction
concretion a ɛyɛ nokware;concretion
concretism a ɛyɛ nokware;concretism
condensate a ɛyɛ den;condensate
condense;condense
condiment a wɔde yɛ aduan;condiment
conditioner a wɔde yɛ nneɛma;conditioner
conditioning a wɔde yɛ nneɛma;conditioning
condor;condor
conductivity a ɛma nsu fa mu;conductivity
conduit a wɔde fa nsu mu;conduit
condyle a wɔde yɛ adwuma;condyle
cone;cone
confection a wɔde yɛ aduan;confection
confectionary a wɔde yɛ aduan;confectionary
confectioner a wɔde yɛ aduan;confectioner
confectioner a wɔde yɛ aduru a wɔfrɛ no cream;confectioner's cream
confectionery a wɔde yɛ aduan;confectionery
confer;confer
confetti a wɔde yɛ nneɛma;confetti
confine;confine
conflate a wɔde di dwuma;conflate
confocal a wɔde di dwuma;confocal
conformism a wɔde wɔn ho hyɛ mu;conformism
conga;conga
congeal a ɛyɛ den;congeal
congee;congee
conger;conger
conger eel a wɔfrɛ no ɔkraman;conger eel
congo;Congo
congofo;Congolese
congruence a ɛne ne ho hyia;congruence
coniancian a ɔyɛ ɔbarima;Coniacian
conical;conical
conifer a wɔfrɛ no conifer;conifer
coniform;coniform
conjugate a wɔde di dwuma;conjugate
conjugator a wɔde di dwuma;conjugator
connecticut na ɛwɔ hɔ;Connecticut
connive;connive
connote a ɛkyerɛ biribi;connote
conrad na ɔkyerɛwee;Conrad
conservatism a wɔde di dwuma;conservatism
consign a wɔde bɛma;consign
console no so;console
constantine na ɔkyerɛwee;Constantine
constantinople na ɛwɔ hɔ;Constantinople
constantinopolifoɔ a wɔte hɔ;Constantinopolitan
constipate a ɛyɛ mmerɛw;constipate
constituent a ɛyɛ nea wɔde yɛ adwuma;constituent
constitutive a ɛyɛ nea wɔahyɛ da ayɛ;constitutive
constriction a ɛyɛ mmerɛw;constriction
construct;construct
constructivism a wɔde kyerɛkyerɛ nneɛma mu;constructivism
consul;consul
consummate a ɛyɛ nea edi mũ;consummate
contiguity a ɛne ne ho di nsɛ;contiguity
contingent a ɛyɛ nea ɛbae;contingent
contort a wɔde twitwiw nneɛma;contort
contortion a wɔkyinkyim;contortion
contortionist a ɔyɛ ɔkyerɛkyerɛfo;contortionist
contour a ɛyɛ fɛ;contour
contour line a ɛyɛ den;contour line
contour map a ɛyɛ fɛ;contour map
contrabassoon a wɔde di dwuma;contrabassoon
contracture a wɔde yɛ adwuma;contracture
contrail a wɔde di dwuma;contrail
contraindicate;contraindicate
contraption a wɔde yɛ nneɛma;contraption
contretemps a wɔde di dwuma;contretemps
contrive (nsusuwii) ho;contrive
contumacious a ɛyɛ mmerɛw;contumacious
contumacy a ɛyɛ den;contumacy
contusion a ɛyɛ mmerɛw;contusion
conurbation a ɛwɔ kurow no mu;conurbation
conure (conure) a wɔde di dwuma;conure
convection a ɛma nsu no yɛ hyew;convection
conventicle a wɔde yɛ adwuma;conventicle
converge (nhyiam).;converge
convergent;convergent
convex a ɛyɛ kurukuruwa;convex
convexity a ɛyɛ mmerɛw;convexity
conveyancing a wɔde fa nneɛma so;conveyancing
conveyor belt a wɔde fa nneɛma so;conveyor belt
convoy a wɔde fa nnipa;convoy
convulse a ɛma obi ho popo;convulse
coo;coo
cook nsupɔw so;Cook Islands
cook nsupɔw so maorifo;Cook Islands Maori
cook supɔw soni;Cook Islander
cooker a wɔde noa aduan;cooker
cookie;cookie
cooler;cooler
coolie a ɛyɛ fɛ;coolie
coon aniwa;coon eyes
coop;coop
cooper a wɔde yɛ adwuma;cooper
cooper a ɔyɛ ɔkraman;Cooper's hawk
coot;coot
copacetic a ɛyɛ adwuma;copacetic
copal;copal
copenhagen na ɛwɔ hɔ;Copenhagen
copernicus na ɔkyerɛwee;Copernicus
copilot a ɔde ne ho hyɛ mu;copilot
coppice a wɔde yɛ adwuma;coppice
copra;copra
coprolalia a ɛma nipadua no yɛ adwuma;coprolalia
coprolite a wɔfrɛ no coprolite;coprolite
copse;copse
copt;Copt
coptic asɔre no;Coptic Church
coptic kasa mu;Coptic
copula a wɔde wɔn ho hyɛ mu;copula
copulate a wɔde wɔn ho hyɛ mu;copulate
copy;copy
copy editor;copy editor
copypasta a wɔde yɛ nneɛma;copypasta
copywrite a wɔde kyerɛw nsɛm;copywrite
coquetry a wɔde di dwuma;coquetry
coquettish a ɛyɛ fɛ;coquettish
cor anglais na ɛwɔ hɔ;cor anglais
coral po no;Coral Sea
coralline a ɛyɛ akorade;coralline
cordectomy a wɔde twa anom;cordectomy
cordial;cordial
cordoban na ɔkyerɛwee;Cordoban
cordotomy a wɔde yɛ adwuma;cordotomy
corduroy a wɔde yɛ nneɛma;corduroy
corfu;Corfu
cork a wɔde yɛ adwuma;cork
cork oak a wɔde yɛ oak;cork oak
corkscrew a wɔde yɛ adwuma;corkscrew
corm;corm
cornel;cornel
corner kick a wɔbɔ;corner kick
cornet a wɔde yɛ akutu;cornet
cornett a wɔfrɛ no cornett;cornett
cornice a ɛyɛ fɛ;cornice
corniche a ɛyɛ fɛ;corniche
cornish kasa mu;Cornish
cornucopia a ɛwɔ nipadua no mu;cornucopia
cornwall na ɛwɔ hɔ;Cornwall
corny;corny
corolla a ɛyɛ mmerɛw;corolla
corona;corona
coronal;coronal
coronavirus;coronavirus
corpectomy a wɔde twa nipadua no;corpectomy
corpulence a ɛyɛ kɛse;corpulence
corpulent a ɛyɛ kɛse;corpulent
corpus a ɛwɔ hɔ;corpus
corpus delicti a ɛyɛ mmerɛw;corpus delicti
corpus juris a ɛwɔ mmara mu;corpus juris
corpus kasa ho adesua;corpus linguistics
corpuscle a ɛwɔ nipadua no mu;corpuscle
corral;corral
correspond;correspond
corrugate a wɔde ayɛ;corrugate
corsac ɔkraman;corsac fox
corsica na ɛwɔ hɔ;Corsica
corsican kasa;Corsican
cortical a ɛwɔ nipadua no mu;cortical
cortisol a wɔde di dwuma;cortisol
cortisone a wɔfrɛ no cortisone;cortisone
corundum a wɔde di dwuma;corundum
coruña bi a wɔfrɛ no coruña;A Coruña
corvee a wɔde yɛ adwuma;corvee
corvette a wɔde fa nnipa;corvette
corvine a wɔfrɛ no corvine;corvine
corvus na ɔkyerɛwee;Corvus
cosecant a wɔde di dwuma;cosecant
cosenza na ɔkyerɛwee;Cosenza
cosign;cosign
cosine a wɔfrɛ no cosine;cosine
cosmas na ɔkyerɛwee;Cosmas
cosmodrome a ɛwɔ hɔ;cosmodrome
cosplay a wɔde di dwuma;cosplay
cossackfo na wɔkyerɛwee;Cossack
costa rica na ɛwɔ hɔ;Costa Rica
costa ricafo;Costa Rican
cot;cot
cotangent a ɛyɛ den;cotangent
cotonou na ɛwɔ hɔ;Cotonou
cottage cheese a wɔde yɛ aduan;cottage cheese
cotton swab a wɔde yɛ nneɛma;cotton swab
cotyledon a wɔfrɛ no cotyledon;cotyledon
cougar a wɔfrɛ no cougar;cougar
coulomb;coulomb
coulomb mmara no;Coulomb's law
coulometry a wɔde kyerɛw nsɛm;coulometry
coumarin a wɔfrɛ no coumarin;coumarin
count edin;count noun
counter-offensive a wɔde di dwuma;counter-offensive
counterbalance a wɔde kari pɛ;counterbalance
countercurrent a wɔde di dwuma;countercurrent
countermand a wɔde gyina hɔ ma;countermand
counteroffer a wɔde ma;counteroffer
countersink a wɔde siw ano;countersink
countersurveillance a wɔde hwɛ nneɛma so;countersurveillance
countertenor a wɔde di dwuma;countertenor
countertop so;countertop
counterweight a wɔde di dwuma;counterweight
countess a ɔyɛ ɔhemmaa;countess
coup de adom a wɔde ma;coup de grâce
courland na ɔkyerɛwee;Courland
courser;courser
couscous a wɔde di dwuma;couscous
couturier a ɔyɛ adwuma wɔ hɔ;couturier
couverture a wɔde hyɛ obi nsa;couverture
covalent a wɔde di dwuma;covalent
covalent nkitahodi;covalent bond
covariance a wɔde di dwuma;covariance
cove;cove
covenstead a wɔde yɛ adwuma;covenstead
cover version;cover version
coverage a wɔde tua ho ka;coverage
coverall;coverall
cower;cower
cowl;cowl
cowlick a wɔde wɔn ho hyɛ mu;cowlick
cowlstaff a wɔde di dwuma;cowlstaff
cowper nsuo a ɔde yɛ adwuma;Cowper's fluid
coxa;coxa
coxcomb a wɔfrɛ no coxcomb;coxcomb
coy;coy
coyote a wɔfrɛ no coyote;coyote
coypu;coypu
cracow na ɛwɔ hɔ;Cracow
cradle a wɔde ma;cradle
cradle cap a wɔde hyɛ awotwaa mu;cradle cap
cradle snatcher a ɔkyere nkurɔfo;cradle snatcher
cram;cram
cramer nniso no;Cramer's rule
crampon a ɛyɛ den;crampon
cranberry nsuo a wɔde yɛ nsuo;cranberry juice
cranial a ɛwɔ nipadua no mu;cranial
cranial nerve a ɛwɔ nipadua no mu;cranial nerve
craniectomy a wɔde twa nipadua no;craniectomy
craniotomy a wɔde yɛ nipadua no;craniotomy
cranky a ɛyɛ mmerɛw;cranky
crapula;crapula
crash kwan a ɛkɔ so;crash course
crass a ɛyɛ den;crass
crate a wɔde hyɛ adaka mu;crate
cravat a wɔde di dwuma;cravat
craven;craven
creak;creak
cream;cream
cream a wɔde hyɛ nipadua mu;cream puff
cream a ɛma mogya tu;clotted cream
cream a ɛyera;vanishing cream
creamery a wɔde yɛ nneɛma;creamery
crease a ɛyɛ mmerɛw;crease
credit card a wɔde gye sika;credit card
credit default swap a wɔde sesa;credit default swap
credit score;credit score
creefo na wɔyɛ saa;Cree
creepy-crawly a ɛyɛ hu;creepy-crawly
cremaster a wɔde yɛ adwuma;cremaster
crenate a wɔde yɛ nneɛma;crenate
crenellation a wɔde yɛ adwuma;crenellation
creole kasa mu;creole
creolistics ho adesua;creolistics
creosote a wɔde yɛ nneɛma;creosote
creosote kwae a ɛwɔ hɔ;creosote bush
crepe a wɔde yɛ nneɛma;crepe
crepuscular a ɛyɛ mmerɛw;crepuscular
crepuscule a ɛyɛ mmerɛw;crepuscule
crescendo a wɔde kyerɛw nsɛm;crescendo
cresol;cresol
cress a ɛyɛ fɛ;cress
crest;crest
