Saami;Saamifoɔ
select;yi ho
selected;a wɔapaw no
selection;paw a wɔpaw
selective mutism;mutism a wɔpaw wɔn
selective school;sukuu a wɔpaw wɔn
selective;a wɔpaw nea wɔpɛ
selen-;selen- .
Selena;Selena na ɔkyerɛwee
Selene;Selene na ɔkyerɛwee
selenide;selenide a wɔde yɛ nneɛma
selenium;selenium a wɔde yɛ nneɛma
selenographic;selenographic a wɔde kyerɛw nsɛm
selenography;selenography a wɔde kyerɛw nsɛm
selenologist;selenologist ho ɔbenfo
selenology;selenology ho adesua
Seleucia;Seleucia na ɔkyerɛwee
Seleucus;Seleucus na ɔkyerɛwee
self-;ho-
self-assured;a ɔwɔ ahotoso wɔ ne ho
self-awareness;ankasa ho a wohu
self-belief;ne ho a wogye di
self-censorship;wɔn ho a wɔde hyɛ wɔn ho so
self-confidence;ahotoso a obi wɔ wɔ ne ho
self-confident;ahotoso a ɔwɔ wɔ ne ho
self-conscious;obi a ɔyɛ ne ho
self-consciousness;n’ankasa ho a wɔde hyɛ obi ho
self-contained;nea ɛyɛ ne ho
self-control;ahosodi
self-criticism;ankasa ho a wɔkasa tia
self-defense;wɔn ho a wɔde bɔ wɔn ho ban
self-denial;wɔn ho a wɔpow
self-deportation;wɔn ho a wɔpam wɔn
self-destruct;ɔsɛe ne ho
self-destruction;wɔn ho a wɔsɛe no
self-destructive;a ɔsɛe ne ho
self-determination;ankasa gyinaesi
self-employed;wɔn a wɔyɛ wɔn ankasa adwuma
self-employment;wɔn ankasa adwuma a wɔyɛ
self-esteem;obu a obi wɔ ma ne ho
self-evident;nea ɛda adi ankasa
self-fulfilling;nea ɛma ne ho yɛ den
self-help;ankasa mmoa
self-image;ankasa ho mfonini
self-immolation;wɔn ho a wɔhyew wɔn ho
self-improvement;ankasa nkɔso
self-indulgent;obi a ɔde ne ho hyɛ mu
self-interest;pɛsɛmenkominya
self-learning;ankasa adesua
self-love;ɔdɔ a obi wɔ ma ne ho
self-made;nea ɔno ankasa yɛe
self-medication;nnuru a wɔde sa wɔn ho
self-obsession;ankasa ho a wɔde hyɛ obi so
self-portrait;ne ho mfonini a ɔyɛ
self-proclaimed;a wɔka ne ho asɛm
self-raising flour;esiam a ɛma ne ho yɛ den
self-reliant;a ɔde ne ho to ne ho so
self-respect;obu a wɔde ma wɔn ho
self-righteous;wɔn ho a wɔyɛ treneefo
self-sacrifice;ahofama a wɔde bɔ afɔre
self-service;ankasa som adwuma
self-study;ankasa adesua
self-sufficiency;wɔn ho a wɔde hyɛ wɔn ho
self-sufficient;nea ɔde ne ho hyɛ mu
self;ho
selfie stick;selfie dua a wɔde yɛ adwuma
selfie;selfie a wobɛfa
selfish;ayamɔnwono
selfishness;pɛsɛmenkominya
selfless;pɛsɛmenkominya
sell off;tɔn kɔ
sell-by date;sell-by date a wɔde bɛtɔn
sell;tɔn
seller;adetɔnfo
selling point;adetɔn ho asɛm
Selma;Selma na ɔkyerɛwee
selvage;selvage a wɔde di dwuma
semantic field;nkyerɛaseɛ afuo
semantic;ntease a ɛwɔ mu
semantics;ntease ho nimdeɛ
semaphore;semaphore a wɔde kyerɛw nsɛm
semelfactive aspect;afã a ɛyɛ nea ɛyɛ ne ho
semelfactive;nea ɛyɛ ne ho sɛ nea ɔyɛ
semen;mmadwoa
semester;ɔsram biako mu
semi-;semi- .
semi-boarding school;sukuu a wɔda mu fã bi
semi-colony;semi-colony a ɛwɔ hɔ
semi-deponent;semi-deponent a ɔde ne ho to so
semi-detached;nea ɛyɛ fã bi a wɔatew ne ho
semi-postal stamp;semi-postal stamp a wɔde di dwuma
semi-skimmed;a wɔayɛ no fã bi
semi-trailer;semi-trailer a wɔde fa nnipa
semibreve;semibreve a ɛyɛ fã bi
semicircle;kurukuruwa fã
semicircular;a ɛyɛ kurukuruwa fã
semicolon;nkyerɛwde a ɛyɛ nsensanee
semiconductor;semiconductor a ɛyɛ adwuma
semifinal;semifinal no mu
semifinalist;nea odii nkonim wɔ fã a etwa to no mu
semifluid;nsu a ɛyɛ fã bi
seminal vesicle;seminal vesicle a ɛyɛ mmerɛw
seminal;seminal
seminar;nhyiam a wɔyɛe
seminarist;seminaristfoɔ
seminiferous;seminiferous a ɛwɔ hɔ
semiologist;semiologist ho ɔbenfo
semiology;semiology ho adesua
semiotician;sɛnkyerɛnnede ho ɔbenfo
semiotics;sɛnkyerɛnnede ho adesua
semipermeable;nea ɛtumi fa mu fã bi
semiprime;semiprime a ɛyɛ den
semiquaver;semiquaver a ɛyɛ fã bi
semirural;semiirural na ɛyɛ
semis;semis na ɛyɛ
Semite;Semitefoɔ
Semitic;Semfo kasa
semitone;ɛnne fã bi
semitransparent;semitransparent a ɛyɛ nea ɛyɛ mmerɛw
semivowel;ɛnne nnyigyei fã
semla;semla
semolina pudding;semolina pudding a wɔde yɛ aduan
semolina;semolina a wɔfrɛ no semolina
senarius;senarius a wɔfrɛ no senarius
senate;mmarahyɛ baguafo
senator;mmarahyɛ baguani
send off;soma kɔ
send-up;soma-kɔ soro
send;mane
sender;nea ɔsomaa no
Seneca;Seneca na ɔkyerɛwee
Senegal;Senegal
Senegalese;Senegalfo kasa
senescence;nkwakoraa ne mmerewa
seneschal;seneschal a wɔde di dwuma
seneschalship;seneschalship a wɔde di dwuma
senile;senile
senility;nkwakoraabere
senior;panin
Senkaku Islands;Senkaku Nsupɔw so
sensation;nkate a ɛma obi nya nkate
sensationalism;nkate a ɛma obi ho yɛ hyew
sensationalist;obi a ɔyɛ nkate
sense of humour;aseresɛm a wɔde di dwuma
sense organ;nkate akwaa
sense;nyansa
sensei;sensei
sensibility;nkate a ɛma obi te nka
sensible;nyansa wom
sensibly;wɔ ntease mu
sensitive;wɔ atenka
sensitivity;nkate a ɛma obi te nka
sensitize;te nka
sensor;sensor
sensorial;nkate mu nsɛm
sensory;nkate mu nsɛm
sensualism;akɔnnɔ a ɛma obi nya akɔnnɔ
sensuality;akɔnnɔ a ɛma obi nya akɔnnɔ
sent;de kɔ
sentence;ɔkasamu
sententious;kasamu a wɔde di dwuma
sententiously;wɔ kasamu mu
sentience;nkate a ɛma obi nya nkate
sentient;nkate a ɛma obi te nka
sentiment;nkate a ɛma obi nya nkate
sentimental value;nkate mu bo a ɛsom
sentimental;nkate mu nsɛm
sentimentally;wɔ nkate mu
sentinel;ɔwɛmfo
sentry-box;sentry-adaka a wɔde di dwuma
sentry;ɔwɛmfo
Senyera;Senyera na ɔkyerɛwee
Seoul;Seoul na ɛwɔ hɔ
Seoulite;Seoulite na ɛwɔ hɔ
sepal;sepal a ɛyɛ sepal
separate;kyɛ mu
separately;wɔ ɔkwan soronko so
separation of powers;tumi ahorow a wɔpaapae mu
separation;ntetewmu
separatism;mpaapaemu a wɔtew wɔn ho
separatist;ntetewmufo
Sephardi;Sephardifo na ɔkyerɛwee
sepia;sepia a ɛyɛ sepia
sepoy;sepoy
sepsis;sepsis a ɛma obi nya ɔyare mmoawa
September;Ɔbɔ
septet;septet
septic tank;nsu a wɔde gu nsu mu
septic;septic a wɔde gu nsu mu
septicemia;septicemia a ɛma mogya tu
septillion;septillion a ɛwɔ nipadua no mu
Septuagint;Septuagint nhoma no
septum;septum a ɛwɔ nipadua no mu
sepulchral;ɔdamoa mu
sepulchre;ɔdamoa
sequel;nea ɛtoa so
sequela;nea ɛtoa so
sequence;ntoasoɔ
sequenced;a wɔahyehyɛ no nnidiso nnidiso
sequencer;sequencer a wɔde di dwuma
sequential;nnidiso nnidiso
sequester;sequester a wɔde wɔn ho hyɛ mu
sequin;sequin a wɔde yɛ nneɛma
sequoia;sequoia a ɛyɛ sequoia
serac;serac
seraglio;seraglio
seraph;seraph
Seraphina;Seraphina na ɔkyerɛwee
Serb;Serb kasa mu
Serbia;Serbia na ɛwɔ hɔ
Serbian;Serbia kasa
Serbo-Croatian;Serbo-Croatia kasa
Serbophile;Serbophile a ɔyɛ ɔbarima
sere;sere
serenade;serenade a wɔde bɔ nnwom
serendipity;serendipity a ɛyɛ mmerɛw
serene;kommyɛ
serenity;kommyɛ a ɛwɔ hɔ
serf;ɔsomfoɔ
serfdom;nkoasom
sergeant major;ɔsraani panyin a ɔyɛ ɔsraani panyin
sergeant;ɔsraani panyin
Sergius;Sergius na ɔkyerɛwee
serial killer;obi a okum nnipa nnidiso nnidiso
series finale;nsɛm a ɛtoatoa so awiei
series;ntoatoasoɔ
serif;serif
serin;serin
serine;serine a wɔfrɛ no serine
serious;ani abere
seriously;aniberesɛm
seriousness;aniberesɛm
sermon;asɛnka
seropositive;seropositive a ɛwɔ nipadua no mu
serotonin;serotonin a wɔde di dwuma
Serpens;Serpens na ɔyɛ
serpent;ɔwɔ
serpentine;ɔwɔ a ɛte sɛ ɔwɔ
serpentinite;serpentinite a wɔde yɛ adwuma
Serpukhovian;Serpukhovian kasa mu
Serravallian;Serravallian na ɔkyerɛwee
serum;serum a wɔde hyɛ nipadua mu
servant;akoa
serve someone right;som obi yiye
serve;som
server;server no
service of process;ɔsom a ɛfa nhyehyɛe ho
service à la russe;ɔsom adwuma à la russe
service;asoɛeɛ
servile;nkoasom
servility;nkoasom a wɔyɛ
serving;som
servitude;nkoasom
servomechanism;servomechanism a wɔde yɛ adwuma
sesame oil;sesame ngo a wɔde yɛ
sesame;sesame a wɔde yɛ nneɛma
sesquilingualism;sesquilingualism a wɔde di dwuma
sesquioxide;sesquioxide a wɔde yɛ aduru
sessile;sessile a ɛnyɛ hwee
session;ɔfa
sestertius;sestertius a wɔfrɛ no sestertius
set foot;fa wo nan si hɔ
set forth;de too gua
set free;fa ahofadi
set in motion;wɔde sii hɔ wɔ kankyee mu
set on fire;wɔde ogya too mu
set on;set on
set phrase;set kasasin
set square;set ahinanan
set store by;set store denam
set the table;hyehyɛ pon no
set theory;set theory a wɔde besisi hɔ
set up;hyehyɛ
set;hyehyɛ
setback;akyigyina
sett;sett
settee;settee
setting;sɛten
settle down;tra ase
settle for;siesie wo ho ma
settle;tena
settlement agreement;apam a wɔde siesie nsɛm
settlement;settlement a wɔde siesie nneɛma
settler;ɔtubrafoɔ
setup;hyehyɛ
Sevan trout;Sevan trout a wɔfrɛ no trout
Sevastopol;Sevastopol na ɛwɔ hɔ
seven deadly sins;bɔne ason a edi awu
seven hundred;ahanson
seven o'clock;nnɔnson
Seven Sages;Nyansafo baason
seven thousand;mpem nson
seven virtues;su pa ahorow ason
seven-league boots;mpaboa a ɛyɛ league ason
seven;nson
seventeen;dunson
seventeenth;nea ɛto so dunwɔtwe
seventh heaven;ɔsoro a ɛto so ason
seventh;nea ɛto so ason
seventieth;nea ɛto so aduɔson
seventy-eight;aduɔson awotwe
seventy-first;aduɔson baako a ɛtɔ so aduɔson baako
seventy-five;aduɔson nnum
seventy-four;aduɔson anan
seventy-nine;aduɔson nkron
seventy-one;aduɔson baako
seventy-seven;aduɔson nson
seventy-six;aduɔson nsia
seventy-three;aduɔson abiɛsa
seventy-two;aduɔson mmienu
seventy;aduɔson
sever;sever
several;pii
severe;emu yɛ den
severely;denneennen
severity;sɛnea emu yɛ den
Sevillan;Sevillafo na wɔkyerɛwee
Seville;Seville na ɔkyerɛwee
Sevillian;Sevillian na ɔyɛ ɔbarima
sew;pam
sewage;efĩ a wɔde gu mu
sewer;nsu a ɛkɔ nsu mu
sewing machine;afiri a wɔde pam ade
sewn;a wɔpam
sex appeal;nna ho akɔnnɔ
sex bomb;nna mu ɔtopae
sex change;ɔbarima ne ɔbea nna mu nsakrae
sex club;nna ho kuw
sex drive;nna ho akɔnnɔ
sex education;nna ho nkyerɛkyerɛ
sex hormone;ɔbarima ne ɔbea nna mu hormone
sex ratio;ɔbarima ne ɔbea nna mu nsusuwii
sex shop;nna ho aguadidan
sex strike;nna mu adwumayɛfo a wɔyɛ adwumaden
sex tourism;nna ho nsrahwɛ
sex toy;nna ho agode
sex worker;ɔbarima ne ɔbea nna ho adwumayɛfo
sex;ɔbarima ne ɔbea nna
sexism;ɔbarima ne ɔbea nna ho akɔnnɔ
sexist;ɔbarima ne ɔbea nna ho akɔnnɔ
sexology;ɔbarima ne ɔbea nna ho adesua
Sextans;Sextanfo a wɔyɛ wɔn ho sɛ
sextant;sextant a wɔde hyɛ nipadua mu
sextet;sextet a wɔde kyerɛw nsɛm
sextillion;sextillion a ɛyɛ ɔbarima ne ɔbea nna
sexting;sexting a wɔde mena
sexton;sexton na ɔkyerɛwee
sexual appetite;nna ho akɔnnɔ
sexual cannibalism;nna mu nnipakum
sexual frustration;nna mu abasamtu
sexual harassment;nna mu ɔbrasɛe
sexual intercourse;nna mu ɔbrasɛe
sexual minority;nna mu nnipa kakraa bi
sexual orientation;nna ho akɔnnɔ
sexual predator;nna mu ɔbrasɛefo
sexual relation;nna mu abusuabɔ
sexual reproduction;nna mu awo
sexual slavery;nna mu nkoasom
sexual tension;nna mu nhyɛso
sexual;nna ho nsɛm
sexuality;nna ho nsɛm
sexualization;nna mu ɔbrasɛe
sexually frustrated;nna mu abasamtu
sexually;wɔ nna mu
sexy;sexy
Seychelles;Seychelles na ɛwɔ hɔ
Seychellois;Seychelloisfoɔ na wɔte saa
señorita;señorita
sgraffito;sgraffito a wɔde kyerɛw nsɛm
shabby;shabby
shack;shack
shackle;nkɔnsɔnkɔnsɔn
shackles;nkɔnsɔnkɔnsɔn
shad;shad
shade;sum
shadoof;sunsuma a ɛwɔ hɔ
shadow of a doubt;adwenem naayɛ bi sunsuma
shadow;sunsum
shady;sunsuma a ɛwɔ hɔ
shaft;shaft no
shag;shag
shaggy;shaggy a ɛyɛ fɛ
shah;shah
shahada;shahada na ɛyɛ
shake off;wosow fi hɔ
shake;woso
Shakespeare;Shakespeare na ɔkyerɛwee
Shakespearean sonnet;Shakespeare sonnet a ɔkyerɛwee
Shakespearean;Shakespeare na ɔkyerɛwee
shaky;wosow
shale gas;shale gas a wɔde yɛ nneɛma
shale;shale a wɔde yɛ nneɛma
shall;bɛ
shallot;shallot a wɔfrɛ no shallot
shallow;aniani
shalom;shalom
sham;atoro
shaman;shaman a ɔyɛ ɔkraman
shamanism;shamanism a wɔde di dwuma
shamble;shamble
shambles;shambles a ɛyɛ hu
shame;aniwuo
shameful;aniwu
shamefully;aniwu mu
shameless;aniwu nnim
shamelessly;a aniwu nnim
shamelessness;aniwu a wonni
shampoo;shampoo a wɔde hyɛ nipadua mu
shamrock;shamrock a wɔde yɛ nneɛma
shandy;shandy na ɛyɛ
shanghai;shanghai
shank;shank
shanks' mare;shanks’ apɔnkɔ
shanks' pony;shanks’ pɔnkɔ
shanty;shanty a ɛwɔ hɔ
shanzhai;shanzhai na ɛyɛ
shape-shifter;shape-shifter a ɛsakra nneɛma
shape;bɔbea
sharashka;sharashka na ɛyɛ
shard;shard
share;kyɛ
sharecropping;kyɛfa a wɔde yɛ nnɔbae
shared;wɔkyekyɛɛ mu
shareholder;kyɛfafo a ɔwɔ kyɛfa
shari'a;shari'a
shark attack;shark ntua
shark fin soup;shark fin soup a wɔde yɛ aduan
shark;shark a wɔfrɛ no shark
sharp;nam
sharpen;nnam
sharpener;ade a wɔde sew ade
sharpness;nnam a ɛyɛ nnam
sharpshooter;nea ɔtow tuo a ano yɛ nnam
shashlik;shashlik na ɛyɛ
shatter;abubu
shave;yiyi wɔn ti
shaver;shaver a wɔde yiyi ti
shawarma;shawarma na ɛyɛ
shawl;shawl a wɔde hyɛ mu
shawm;shawm
she's unconscious;ɔyɛ obi a onnim hwee
she-ass;ɔbaa-afunumu
she-bear;ɔbea-asono
she-cat;she-cat
she-devil;ɔbea-ɔbonsam
she-wolf;ɔkraman-ɔkraman
she;ɔno
shea butter;shea bɔta a wɔde yɛ nneɛma
shea;shea
sheaf;sheaf
shear;shear a wɔde twitwiw nneɛma
shears;shears a wɔde twitwiw nneɛma
shearwater;nsuo a wɔde twa nsuo
sheath;sheath a wɔde ahyɛ mu
sheathe;sheathe a wɔde ahyɛ mu
sheave;sheave a wɔde ahyɛ mu
shed;worɔ
sheen;sheen
sheep;odwan
sheepdog;nguan kraman
sheepfold;nguandan
sheepherder;nguanhwɛfo
sheepskin;nguan nhoma
sheer;sheer
sheet bend;krataa a wɔde benkum
sheet metal;dade a wɔde yɛ ntama
sheet music;nnwom a wɔakyerɛw so
sheet of paper;krataa a wɔde kyerɛw krataa
sheet;krataa
sheik;sheik
Sheinwoodian;Sheinwoodian na ɔkyerɛwee
shelduck;shelduck a wɔfrɛ no shelduck
shelf life;bere a wɔde sie
shelf;pono so
shell;hono
shellac;shellac a wɔfrɛ no shellac
shellfish;akutu
shelter;daberɛ
Shem;Sem
shenanigans;shenanigans a wɔde di dwuma
Shenzhen;Shenzhen na ɔkyerɛwee
shepherd's pie;oguanhwɛfo pie
shepherd's purse;oguanhwɛfo sika kotoku
shepherd;oguanhwɛfo
sheqel;sheqel
sherbet;sherbet a wɔde yɛ nneɛma
Sheremetyevo;Sheremetyevo na ɔkyerɛwee
sheriff;sheriff a ɔyɛ ɔmansin sohwɛfo
Sherpa;Sherpa na ɔkyerɛwee
sherry;sherry a wɔfrɛ no sherry
Shetland Islands;Shetland Nsupɔw so
shh;shh
Shi'a;Shi'afoɔ
shibboleth;shibboleth a wɔde yɛ adwuma
shield volcano;kyɛm ogya bepɔw
shield;bɔ ban
shift key;shift safoa no
shift;pini
shiitake;shiitake na ɛyɛ
shikimic acid;shikimic acid a wɔde yɛ aduru
shiksa;shiksa
shill;shill
shilling;shilling
shin pad;shin pad
shin splint;shin splint a wɔde hyɛ nipadua no mu
shin;shin
shinbone;shinbone
shine;bɔ
shingle;shingle a ɛyɛ shingle
shingles;shingles a ɛyɛ mmerɛw
shining;a ɛhyerɛn
Shinto;Shintofo a wɔyɛɛ saa
Shintoist;Shintosomfo
shiny cowbird;nantwinini a ɔhyerɛn
shiny;a ɛhyerɛn
ship;suhyɛn
shipwreck;hyɛn a asɛe
shipwrecked;hyɛn a abubu
shipyard;po so ahyɛn adwumayɛbea
Shiraz;Shiraz na ɔkyerɛwee
shire;shire na ɛwɔ hɔ
shirk;shirk
shirker;shirker a ɔyɛ ɔbarima
shirt;hyɛɛte
shirtfront;shirt anim
shit factory;shit adwumayɛbea
shit-for-brains;shit-for-amemene ahorow
shit;shit
shitass;shitass a ɛyɛ den
shithead;shithead a ɛyɛ den
shitload;shitload a wɔde hyɛ mu
shitton;shitton a ɛyɛ den
shitty;shitty
shiver;ahopopo
shoal;shoal
shock absorber;ade a ɛma obi ho dwiriw no
shock wave;ahodwiriw asorɔkye
shock;ahodwiriw
shocking;a ɛyɛ ahodwiriw
shoddy;shoddy a ɛyɛ fɛ
shoe polish;mpaboa a wɔde hyɛ mu
shoe size;mpaboa kɛse
shoe tree;mpaboa dua
shoe;mpaboa
shoebill;mpaboa a wɔde hyɛ mu
shoehorn;mpaboa abɛn
shoelace;mpaboa hama
shoemaker;mpaboa yɛfo
shofar;shofar a wɔde di dwuma
shogun;shogun
shogunate;shogunate a wɔde di dwuma
shoo;shoo
shoot down;tow tuo gu fam
shoot the moon;tow ɔsram no tuo
shoot;to
shooting guard;ɔwɛmfo a ɔtow tuo
shooting star;nsoromma a ɛtow tuo
shooting;a wɔtow tuo
shop window;sotɔɔ mfɛnsere mu
shop;di dwa
shopfloor;sotɔɔ mu
shopkeeper;sotɔɔ wura
shoplifting;sotɔɔ mu korɔnbɔ
shopper;adetɔfo
shopping bag;adetɔ bag
shopping cart;adetɔ teaseɛnam
shopping centre;aguadidan a wɔtɔn nneɛma wom
shopping;dwadie
shore up;mpoano kɔ soro
shore;mpoano
shoreline;mpoano a ɛwɔ hɔ
short circuit;circuit tiawa
short story;asɛm tiawa
short-sighted;a wonhu ade tiaa
short-tailed hawk;ɔkraman a ne dua yɛ tiaa
short-tailed parrot;akɔre a ne dua yɛ tiaa
short-term;bere tiaa mu
short;tiawa
shortage;adesa
shortchange;nsakrae tiawa
shortcoming;sintɔ ahorow
shortcut;ɔkwan tiawa
shorten;tiawa
shortfall;sintɔ
shorthaired;a ne ti nhwi yɛ tiaa
shorthand;nkyerɛwde tiawa
shorthanded;wɔde nsa tiawa
shortly;bere tiaa bi mu
shortness of breath;ahome a ɛyɛ tiaa
shorts;ntade tiaa
shortstop;shortstop a wɔde gyina hɔ
shortwave;asorɔkye tiawa
Shoshone;Shoshone na ɔkyerɛwee
shot glass;ahwehwɛ a wɔde tow tuo
shot put;tuo a wɔde tow tuo
shot;tuoto
Shota;Shota na ɔkyerɛwee
shotgun wedding;ayeforohyia a wɔde tuo tow tuo
shotgun;tuo a wɔde tow tuo
should;ɛwɔ sɛ
shoulder blade;mmati so aduru
shoulder-to-shoulder;mmati-kɔ-mmati
shoulder;abatire
shout down;teɛm brɛ ase
shout;team
shove;shove a wɔde hyɛ obi so
shovel;shovel a wɔde hyɛ mu
shoveler;shoveler a ɔde ne ho hyɛ mu
show business;kyerɛ aguadi
show jumping;kyerɛ sɛnea wohuruw
show off;yi wo ho adi
show-off;show-off a wɔde kyerɛ
show;da no adi
showbusiness;showbusiness a wɔyɛ
showcase;showcase a wɔde kyerɛ
showdown;showdown a wɔde wɔn ho hyɛ mu
shower curtain;ntama a wɔde gu nsu mu
shower gel;gel a wɔde gu nsu mu
shower;dware
showmanship;ɔyɛkyerɛ a wɔde kyerɛ nneɛma
showoff;showoff a wɔde kyerɛ
showrunner;ɔyɛkyerɛfo
showy;ɔyɛkyerɛ
shrapnel;shrapnel a wɔde yɛ nneɛma
shred;shred a wɔde twitwiw nneɛma mu
shredded;wɔatwitwa mu
shredder;shredder a wɔde twitwiw nneɛma mu
shrew;shrew a ɛyɛ hu
shrewd;anifere kwan so
shriek;teɛteɛm
shrike;shrike a ɛyɛ hu
shrill;a ɛyɛ dede
shrimp plant;shrimp afifide
shrimp;mɔnkɔ
shrine;kronkronbea
shrink;fɔn
shrivel;a ɛyɛ mmerɛw
shroud;ntama a wɔde kata so
Shrove Tuesday;Shrove Tuesday na ɔyɛɛ saa
shrub celery;shrub celery a wɔde yɛ nnuadewa
shrub;shrub a ɛyɛ dua
shrug;fa wo nsa twitwiw wo nsa
shrunk;twetwee ne ho
shudder;wo ho popoe
shuffle;shuffle a wɔde hyɛ mu
shun;shun
shut down;to mu
shut up;ka w'ano tom
shut;to mu
shutdown;a wɔato mu
shutter speed;shutter ahoɔhare
shutter;shutter a wɔde hyɛ mu
shutterbug;shutterbug a ɛyɛ hu
shuttle;shuttle a wɔde fa nnipa
shuttlecock;shuttlecock a wɔde fa nnipa
shy;fɛre
shyly;fɛre so
shyness;fɛre a wɔde yɛ ade
si;si
sialic acid;sialic acid a wɔde yɛ aduru
Siam;Siam na ɔkyerɛwee
Siamese cat;Siamese ɔkraman
Siamese twin;Siamesefo a wɔyɛ mmanoma
Siamese;Siamese kasa
Siberia;Siberia na ɛwɔ hɔ
Siberian Husky;Siberia Husky a wɔfrɛ no Husky
Siberian tiger;Siberia ɔkraman
Siberian;Siberiafo
sibilant;sibilant a ɛyɛ sibilant
sibling;nua
sic;sic
Sichuan Yi;Sichuan Yi na ɔkyerɛwee
Sichuan;Sichuanfo na wɔte saa
Sicilian Defence;Sicilyfo Ahobammɔ
Sicilian;Sicilyfo kasa
Sicily;Sicily na ɛwɔ hɔ
sick bay;yare bay
sick leave;yare akwamma
sick man of Europe;ɔbarima a ɔyare a ofi Europa
sickle-cell anemia;mogya a ɛtɔ kɔ nipadua mu a ɛwɔ sickle-cell mu
sickle;sickle a wɔde di dwuma
sickly;ɔyarefo
sickness;yareɛ
side dish;side dish a wɔde di dwuma
side effect;nsunsuanso bɔne
side of bacon;afã a ɛyɛ bacon
side-striped jackal;ɔkraman a ne ho yɛ nsensanee wɔ nkyɛnkyɛn
side;nkyɛn
sidebar;sidebar a ɛwɔ nkyɛnkyɛn
sideboard;sideboard a ɛwɔ nkyɛnkyɛn
sideburns;afã horow a ɛyɛ hyew
sidelock;sidelock a ɛwɔ nkyɛnkyɛn
sidereal;sidereal a ɛyɛ fɛ
sides reversed is;afã horow a wɔadan no akyi ne
sidewalk cafe;cafe a ɛwɔ kwan ho
sidewalk;kwan a wɔfa so nantew
Sidon;Sidon
siege;wɔaka wɔn ahyɛ
Siegfried;Siegfried na ɔkyerɛwee
siemens;siemens na ɛyɛ
Sierra Leone;Sierra Leone na ɛwɔ hɔ
Sierra Leonean;Sierra Leonefo a wɔyɛ saa
Sierra Nevada;Sierra Nevada na ɛwɔ hɔ
siesta;siesta na ɛyɛ
sieve;sieve a wɔde yiyi mu
sievert;sievert
sift out;sift fi mu
sift;sift a wɔde hyɛ mu
sifter;sifter a wɔde hyɛ mu
sigh;ahomekokoɔ
sight translation;sight nkyerɛase
sight;adesunu
sighthound;sighthound a wotumi hu ade
sighting;a wohu ade
sightsee;sightsee a wobɛkɔ akɔhwɛ
sightseeing;ɛsɛ w'ani
sigil;sigil
sigma;sigma
sign language;mum kasa
sign of the cross;asɛnnua no ho sɛnkyerɛnne
sign of the times;mmere no ho sɛnkyerɛnne
sign up;kyerɛw wo din
sign;fa nsa hyɛ aseɛ
signage;nsɛnkyerɛnne a wɔde hyɛ mu
signal;sɛnkyerɛnne
signatory;nea ɔde ne nsa hyɛɛ ase
signature;nsaanodin
significance;nea ɛkyerɛ
significant other;afoforo a ɛho hia
significant;kɛseɛ
significantly;nea ɛho hia kɛse
Sikh;Sikhfo
Sikhism;Sikhsom
Sikkim;Sikkim na ɛwɔ hɔ
Silas;Silas
silence is golden;kommyɛ yɛ sika kɔkɔɔ
silence;dinn
silent as the grave;komm te sɛ ɔdamoa
silent film;sini a wɔnyɛ komm
silent treatment;ayaresa a wɔyɛ no komm
silent;dinn
silently;kommyɛ mu
Silesia;Silesia na ɛyɛ
silhouette;silhouette a wɔde yɛ mfonini
silica;silica a wɔde yɛ adwuma
silicate;silicate a wɔde yɛ nneɛma
siliceous;a ɛyɛ siliceous
silicon dioxide;silicon dioxide a wɔde yɛ adwuma
Silicon Valley;Silicon Bon mu
silicon;silicon a wɔde yɛ nneɛma
silicone;silicone a wɔde yɛ adwuma
silique;silique a wɔde yɛ nneɛma
Silk Road;Silk Kwan so
silk-cotton tree;dua a wɔde sirikyi ayɛ
silk;asaawa
silken;silky a wɔde yɛ adwuma
silkworm;silika a ɛyɛ nwansena
silky;silky a ɛyɛ silky
sill;sill
sillimanite;sillimanite a wɔde di dwuma
silly season;nkwasea bere
silly;gyimie
silo;silo
silt;silt
silver fox;dwetɛ ɔkraman
silver lining;dwetɛ a wɔde akata so
silver medal;dwetɛ abasobɔde
silver screen;dwetɛ a wɔde yɛ ntama
silver-plate;dwetɛ-prɛte
silver-tongued;dwetɛ tɛkrɛma
silver;sereba
silverback;dwetɛ akyi
silvered;wɔde dwetɛ ayɛ
silverfish;dwetɛ mpataa
silverside;dwetɛ afã
silversmith;dwetɛ adwumfo
silverware;dwetɛ nneɛma
silvery;dwetɛ a ɛyɛ fɛ
Silvia;Silvia na ɔkyerɛwee
silviculture;kwae mu a wɔyɛ
Silvius;Silvius na ɔkyerɛwee
SIM card;SIM kaad a wɔde di dwuma
Simeon;Simeon
Simferopol;Simferopol na ɔkyerɛwee
simian;simian
similar;sɛ
similarity;nsɛdi
similarly;saa ara nso na
simile;mfatoho
similitude;nsɛsoɔ
simmer;simmer a ɛyɛ hyew
Simon says;Simon ka sɛ
Simon;Simon
Simonides;Simonides na ɔkyerɛwee
simony;simony a ɔyɛ
simper;simper a ɛyɛ mmerɛw
simple future;daakye a ɛnyɛ den
simple machine;afiri a ɛnyɛ den
simple past;bere a atwam a ɛnyɛ den
simple present;mprempren a ɛnyɛ den
simple sentence;kasamu a ɛnyɛ den
simple;tiawa
simpleness;sɛnea ɛyɛ mmerɛw
simpleton;simpleton a ɛyɛ mmerɛw
simplex;simplex a wɔfrɛ no simplex
